candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Clay,Brazil 1,,,,1287
,Ballots Cast,,,Clay,Brazil 1,291,154,0,445
Mike Braun,U.S. Senate,,R,Clay,Brazil 1,181,79,0,260
Joe Donnelly,U.S. Senate,,D,Clay,Brazil 1,75,61,0,136
Lucy M Brenton,U.S. Senate,,L,Clay,Brazil 1,31,8,0,39
Write in,U.S. Senate,,,Clay,Brazil 1,1,0,0,1
Connie Lawson,Secretary of State,,R,Clay,Brazil 1,191,87,0,278
Jim Harper,Secretary of State,,D,Clay,Brazil 1,72,57,0,129
Mark W. Rutherford,Secretary of State,,L,Clay,Brazil 1,17,3,0,20
Write in,Secretary of State,,,Clay,Brazil 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Clay,Brazil 1,191,80,0,271
Joselyn Whitticker,Auditor of State,,D,Clay,Brazil 1,70,58,0,128
John Schick,Auditor of State,,L,Clay,Brazil 1,16,7,0,23
Write in,Auditor of State,,,Clay,Brazil 1,0,0,0,0
Kelly Mitchell,Treasurer of State,,R,Clay,Brazil 1,206,89,0,295
John C. Aguilera,Treasurer of State,,D,Clay,Brazil 1,72,54,0,126
Write in,Treasurer of State,,,Clay,Brazil 1,0,0,0,0
Larry D Bucshon,U.S. House,8,R,Clay,Brazil 1,211,87,0,298
William Tanoos,U.S. House,8,D,Clay,Brazil 1,71,59,0,130
Write in,U.S. House,8,,Clay,Brazil 1,0,0,0,0
Jon Ford,State Senate,38,R,Clay,Brazil 1,201,85,0,286
Chris Gambill,State Senate,38,D,Clay,Brazil 1,83,61,0,144
Alan Morrison,State Representative,42,R,Clay,Brazil 1,183,72,0,255
Evelyn Brown,State Representative,42,D,Clay,Brazil 1,100,78,0,178
,Registered Voters,,,Clay,Brazil 2,,,,1196
,Ballots Cast,,,Clay,Brazil 2,303,177,0,480
Mike Braun,U.S. Senate,,R,Clay,Brazil 2,182,93,0,275
Joe Donnelly,U.S. Senate,,D,Clay,Brazil 2,95,73,0,168
Lucy M Brenton,U.S. Senate,,L,Clay,Brazil 2,24,8,0,32
Write in,U.S. Senate,,,Clay,Brazil 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Clay,Brazil 2,203,101,0,304
Jim Harper,Secretary of State,,D,Clay,Brazil 2,77,62,0,139
Mark W. Rutherford,Secretary of State,,L,Clay,Brazil 2,17,8,0,25
Write in,Secretary of State,,,Clay,Brazil 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Clay,Brazil 2,196,94,0,290
Joselyn Whitticker,Auditor of State,,D,Clay,Brazil 2,80,70,0,150
John Schick,Auditor of State,,L,Clay,Brazil 2,17,4,0,21
Write in,Auditor of State,,,Clay,Brazil 2,0,0,0,0
Kelly Mitchell,Treasurer of State,,R,Clay,Brazil 2,212,101,0,313
John C. Aguilera,Treasurer of State,,D,Clay,Brazil 2,78,68,0,146
Write in,Treasurer of State,,,Clay,Brazil 2,0,0,0,0
Larry D Bucshon,U.S. House,8,R,Clay,Brazil 2,221,105,0,326
William Tanoos,U.S. House,8,D,Clay,Brazil 2,80,64,0,144
Write in,U.S. House,8,,Clay,Brazil 2,0,0,0,0
Jon Ford,State Senate,38,R,Clay,Brazil 2,209,100,0,309
Chris Gambill,State Senate,38,D,Clay,Brazil 2,94,69,0,163
Alan Morrison,State Representative,42,R,Clay,Brazil 2,178,91,0,269
