candidate,id,office,district,party,county,precinct,election_day,absentee,provisional,votes
John Schick,73,Auditor of State,,L,Warrick,Boon 3,8,4,0,12
Kelly Mitchell,74,Treasurer of State,,R,Warrick,Boon 3,155,49,0,204
John C. Aguilera,75,Treasurer of State,,D,Warrick,Boon 3,79,22,0,101
Larry D Bucshon,76,U.S. House,8,R,Warrick,Boon 3,149,46,0,195
William Tanoos,77,U.S. House,8,D,Warrick,Boon 3,89,22,0,111
Write in,78,U.S. House,8,,Warrick,Boon 3,0,0,0,0
Mark Messmer,79,State Senate,48,R,Warrick,Boon 3,175,48,0,223
No Candidate Filed,80,State Senate,48,D,Warrick,Boon 3,0,0,0,0
,81,Registered Voters,,,Warrick,Boon 4,,,,500
,82,Ballots Cast,,,Warrick,Boon 4,168,71,0,239
Mike Braun,83,U.S. Senate,,R,Warrick,Boon 4,77,32,0,109
Joe Donnelly,84,U.S. Senate,,D,Warrick,Boon 4,77,35,0,112
Lucy M Brenton,85,U.S. Senate,,L,Warrick,Boon 4,6,3,0,9
Write in,86,U.S. Senate,,,Warrick,Boon 4,0,0,0,0
Connie Lawson,87,Secretary of State,,R,Warrick,Boon 4,78,32,0,110
Jim Harper,88,Secretary of State,,D,Warrick,Boon 4,71,36,0,107
Mark W. Rutherford,89,Secretary of State,,L,Warrick,Boon 4,9,3,0,12
Write in,90,Secretary of State,,,Warrick,Boon 4,0,0,0,0
Tera Klutz,91,Auditor of State,,R,Warrick,Boon 4,77,32,0,109
Joselyn Whitticker,92,Auditor of State,,D,Warrick,Boon 4,73,37,0,110
John Schick,93,Auditor of State,,L,Warrick,Boon 4,8,2,0,10
Kelly Mitchell,94,Treasurer of State,,R,Warrick,Boon 4,84,33,0,117
John C. Aguilera,95,Treasurer of State,,D,Warrick,Boon 4,74,38,0,112
Larry D Bucshon,96,U.S. House,8,R,Warrick,Boon 4,86,33,0,119
William Tanoos,97,U.S. House,8,D,Warrick,Boon 4,74,38,0,112
Write in,98,U.S. House,8,,Warrick,Boon 4,0,0,0,0
Mark Messmer,99,State Senate,48,R,Warrick,Boon 4,109,40,0,149
No Candidate Filed,100,State Senate,48,D,Warrick,Boon 4,0,0,0,0
,101,Registered Voters,,,Warrick,Boon 5,,,,407
,102,Ballots Cast,,,Warrick,Boon 5,172,57,0,229
Mike Braun,103,U.S. Senate,,R,Warrick,Boon 5,105,29,0,134
Joe Donnelly,104,U.S. Senate,,D,Warrick,Boon 5,57,26,0,83
Lucy M Brenton,105,U.S. Senate,,L,Warrick,Boon 5,8,1,0,9
Write in,106,U.S. Senate,,,Warrick,Boon 5,0,0,0,0
Connie Lawson,107,Secretary of State,,R,Warrick,Boon 5,109,33,0,142
Jim Harper,108,Secretary of State,,D,Warrick,Boon 5,54,21,0,75
Mark W. Rutherford,109,Secretary of State,,L,Warrick,Boon 5,6,1,0,7
Write in,110,Secretary of State,,,Warrick,Boon 5,0,0,0,0
Tera Klutz,111,Auditor of State,,R,Warrick,Boon 5,105,32,0,137
Joselyn Whitticker,112,Auditor of State,,D,Warrick,Boon 5,57,23,0,80
John Schick,113,Auditor of State,,L,Warrick,Boon 5,4,1,0,5
Kelly Mitchell,114,Treasurer of State,,R,Warrick,Boon 5,112,34,0,146
John C. Aguilera,115,Treasurer of State,,D,Warrick,Boon 5,56,21,0,77
Larry D Bucshon,116,U.S. House,8,R,Warrick,Boon 5,116,34,0,150
William Tanoos,117,U.S. House,8,D,Warrick,Boon 5,54,20,0,74
Write in,118,U.S. House,8,,Warrick,Boon 5,0,0,0,0
Mark Messmer,119,State Senate,48,R,Warrick,Boon 5,141,37,0,178
No Candidate Filed,120,State Senate,48,D,Warrick,Boon 5,0,0,0,0
,121,Registered Voters,,,Warrick,Boon 6,,,,500
,122,Ballots Cast,,,Warrick,Boon 6,165,54,0,219
Mike Braun,123,U.S. Senate,,R,Warrick,Boon 6,71,25,0,96
Joe Donnelly,124,U.S. Senate,,D,Warrick,Boon 6,80,26,0,106
Lucy M Brenton,125,U.S. Senate,,L,Warrick,Boon 6,13,1,0,14
Write in,126,U.S. Senate,,,Warrick,Boon 6,1,0,0,1
Connie Lawson,127,Secretary of State,,R,Warrick,Boon 6,81,25,0,106
Jim Harper,128,Secretary of State,,D,Warrick,Boon 6,72,26,0,98
Mark W. Rutherford,129,Secretary of State,,L,Warrick,Boon 6,8,1,0,9
Write in,130,Secretary of State,,,Warrick,Boon 6,0,0,0,0
Tera Klutz,131,Auditor of State,,R,Warrick,Boon 6,77,27,0,104
Joselyn Whitticker,132,Auditor of State,,D,Warrick,Boon 6,74,23,0,97
John Schick,133,Auditor of State,,L,Warrick,Boon 6,10,1,0,11
Kelly Mitchell,134,Treasurer of State,,R,Warrick,Boon 6,94,28,0,122
John C. Aguilera,135,Treasurer of State,,D,Warrick,Boon 6,67,23,0,90
Larry D Bucshon,136,U.S. House,8,R,Warrick,Boon 6,83,32,0,115
William Tanoos,137,U.S. House,8,D,Warrick,Boon 6,79,21,0,100
Write in,138,U.S. House,8,,Warrick,Boon 6,0,0,0,0
Mark Messmer,139,State Senate,48,R,Warrick,Boon 6,113,32,0,145
No Candidate Filed,140,State Senate,48,D,Warrick,Boon 6,0,0,0,0
,141,Registered Voters,,,Warrick,Boon 7,,,,651
,142,Ballots Cast,,,Warrick,Boon 7,239,89,0,328
Mike Braun,143,U.S. Senate,,R,Warrick,Boon 7,116,34,0,150
Joe Donnelly,144,U.S. Senate,,D,Warrick,Boon 7,105,54,0,159
Lucy M Brenton,145,U.S. Senate,,L,Warrick,Boon 7,10,1,0,11
Write in,146,U.S. Senate,,,Warrick,Boon 7,1,0,0,1
Connie Lawson,147,Secretary of State,,R,Warrick,Boon 7,118,37,0,155
Jim Harper,148,Secretary of State,,D,Warrick,Boon 7,93,47,0,140
Mark W. Rutherford,149,Secretary of State,,L,Warrick,Boon 7,15,2,0,17
Write in,150,Secretary of State,,,Warrick,Boon 7,0,0,0,0
Tera Klutz,151,Auditor of State,,R,Warrick,Boon 7,112,36,0,148
Joselyn Whitticker,152,Auditor of State,,D,Warrick,Boon 7,100,49,0,149
John Schick,153,Auditor of State,,L,Warrick,Boon 7,15,1,0,16
Kelly Mitchell,154,Treasurer of State,,R,Warrick,Boon 7,139,40,0,179
John C. Aguilera,155,Treasurer of State,,D,Warrick,Boon 7,89,46,0,135
Larry D Bucshon,156,U.S. House,8,R,Warrick,Boon 7,125,40,0,165
William Tanoos,157,U.S. House,8,D,Warrick,Boon 7,105,49,0,154
Write in,158,U.S. House,8,,Warrick,Boon 7,0,0,0,0
Mark Messmer,159,State Senate,48,R,Warrick,Boon 7,167,51,0,218
No Candidate Filed,160,State Senate,48,D,Warrick,Boon 7,0,0,0,0
,161,Registered Voters,,,Warrick,Boon 8,,,,581
,162,Ballots Cast,,,Warrick,Boon 8,281,,,
Mike Braun,163,U.S. Senate,,R,Warrick,Boon 8,154,37,0,191
Joe Donnelly,164,U.S. Senate,,D,Warrick,Boon 8,112,30,0,142
Lucy M Brenton,165,U.S. Senate,,L,Warrick,Boon 8,12,1,0,13
Write in,166,U.S. Senate,,,Warrick,Boon 8,0,0,0,0
Connie Lawson,167,Secretary of State,,R,Warrick,Boon 8,165,37,0,202
Jim Harper,168,Secretary of State,,D,Warrick,Boon 8,94,27,0,121
Mark W. Rutherford,169,Secretary of State,,L,Warrick,Boon 8,10,1,0,11
Write in,170,Secretary of State,,,Warrick,Boon 8,0,0,0,0
Tera Klutz,171,Auditor of State,,R,Warrick,Boon 8,160,38,0,198
Joselyn Whitticker,172,Auditor of State,,D,Warrick,Boon 8,94,25,0,119
John Schick,173,Auditor of State,,L,Warrick,Boon 8,9,2,0,11
Kelly Mitchell,174,Treasurer of State,,R,Warrick,Boon 8,178,38,0,216
John C. Aguilera,175,Treasurer of State,,D,Warrick,Boon 8,90,28,0,118
Larry D Bucshon,176,U.S. House,8,R,Warrick,Boon 8,178,39,0,217
William Tanoos,177,U.S. House,8,D,Warrick,Boon 8,96,29,0,125
Write in,178,U.S. House,8,,Warrick,Boon 8,0,0,0,0
Mark Messmer,179,State Senate,48,R,Warrick,Boon 8,201,46,0,247
No Candidate Filed,180,State Senate,48,D,Warrick,Boon 8,0,0,0,0
,181,Registered Voters,,,Warrick,Boon 9,,,,851
,182,Ballots Cast,,,Warrick,Boon 9,385,,,
Mike Braun,183,U.S. Senate,,R,Warrick,Boon 9,235,58,0,293
Joe Donnelly,184,U.S. Senate,,D,Warrick,Boon 9,134,52,0,186
Lucy M Brenton,185,U.S. Senate,,L,Warrick,Boon 9,9,6,0,15
Write in,186,U.S. Senate,,,Warrick,Boon 9,0,0,0,0
Connie Lawson,187,Secretary of State,,R,Warrick,Boon 9,236,64,0,300
Jim Harper,188,Secretary of State,,D,Warrick,Boon 9,123,50,0,173
Mark W. Rutherford,189,Secretary of State,,L,Warrick,Boon 9,10,1,0,11
Write in,190,Secretary of State,,,Warrick,Boon 9,0,0,0,0
Tera Klutz,191,Auditor of State,,R,Warrick,Boon 9,242,66,0,308
Joselyn Whitticker,192,Auditor of State,,D,Warrick,Boon 9,115,49,0,164
John Schick,193,Auditor of State,,L,Warrick,Boon 9,8,0,0,8
Kelly Mitchell,194,Treasurer of State,,R,Warrick,Boon 9,261,66,0,327
John C. Aguilera,195,Treasurer of State,,D,Warrick,Boon 9,109,49,0,158
Larry D Bucshon,196,U.S. House,8,R,Warrick,Boon 9,258,67,0,325
William Tanoos,197,U.S. House,8,D,Warrick,Boon 9,118,48,0,166
Write in,198,U.S. House,8,,Warrick,Boon 9,0,0,0,0
Mark Messmer,199,State Senate,48,R,Warrick,Boon 9,299,76,0,375
No Candidate Filed,200,State Senate,48,D,Warrick,Boon 9,0,0,0,0
,201,Registered Voters,,,Warrick,Boon 10,,,,722
,202,Ballots Cast,,,Warrick,Boon 10,313,,,
Mike Braun,203,U.S. Senate,,R,Warrick,Boon 10,195,56,0,251
Joe Donnelly,204,U.S. Senate,,D,Warrick,Boon 10,99,70,0,169
Lucy M Brenton,205,U.S. Senate,,L,Warrick,Boon 10,15,4,0,19
Write in,206,U.S. Senate,,,Warrick,Boon 10,0,0,0,0
Connie Lawson,207,Secretary of State,,R,Warrick,Boon 10,204,59,0,263
Jim Harper,208,Secretary of State,,D,Warrick,Boon 10,87,65,0,152
Mark W. Rutherford,209,Secretary of State,,L,Warrick,Boon 10,11,4,0,15
Write in,210,Secretary of State,,,Warrick,Boon 10,0,0,0,0
Tera Klutz,211,Auditor of State,,R,Warrick,Boon 10,202,62,0,264
Joselyn Whitticker,212,Auditor of State,,D,Warrick,Boon 10,90,63,0,153
John Schick,213,Auditor of State,,L,Warrick,Boon 10,8,3,0,11
Kelly Mitchell,214,Treasurer of State,,R,Warrick,Boon 10,218,65,0,283
John C. Aguilera,215,Treasurer of State,,D,Warrick,Boon 10,86,64,0,150
Larry D Bucshon,216,U.S. House,8,R,Warrick,Boon 10,210,62,0,272
William Tanoos,217,U.S. House,8,D,Warrick,Boon 10,99,68,0,167
Write in,218,U.S. House,8,,Warrick,Boon 10,0,0,0,0
Mark Messmer,219,State Senate,48,R,Warrick,Boon 10,246,77,0,323
No Candidate Filed,220,State Senate,48,D,Warrick,Boon 10,0,0,0,0
Ron Bacon ,221,State Representative,75,R,Warrick,Boon 10,202,68,0,270
,222,Registered Voters,,,Warrick,Boon 11,,,,812
,223,Ballots Cast,,,Warrick,Boon 11,346,,,
Mike Braun,224,U.S. Senate,,R,Warrick,Boon 11,208,56,0,264
Joe Donnelly,225,U.S. Senate,,D,Warrick,Boon 11,120,47,0,167
Lucy M Brenton,226,U.S. Senate,,L,Warrick,Boon 11,14,4,0,18
Write in,227,U.S. Senate,,,Warrick,Boon 11,0,0,0,0
Connie Lawson,228,Secretary of State,,R,Warrick,Boon 11,210,58,0,268
Jim Harper,229,Secretary of State,,D,Warrick,Boon 11,108,47,0,155
Mark W. Rutherford,230,Secretary of State,,L,Warrick,Boon 11,14,1,0,15
Write in,231,Secretary of State,,,Warrick,Boon 11,0,0,0,0
Tera Klutz,232,Auditor of State,,R,Warrick,Boon 11,209,56,0,265
Joselyn Whitticker,233,Auditor of State,,D,Warrick,Boon 11,103,49,0,152
John Schick,234,Auditor of State,,L,Warrick,Boon 11,18,2,0,20
Kelly Mitchell,235,Treasurer of State,,R,Warrick,Boon 11,235,68,0,303
John C. Aguilera,236,Treasurer of State,,D,Warrick,Boon 11,99,40,0,139
Larry D Bucshon,237,U.S. House,8,R,Warrick,Boon 11,235,60,0,295
William Tanoos,238,U.S. House,8,D,Warrick,Boon 11,99,48,0,147
Write in,239,U.S. House,8,,Warrick,Boon 11,0,0,0,0
Mark Messmer,240,State Senate,48,R,Warrick,Boon 11,281,72,0,353
No Candidate Filed,241,State Senate,48,D,Warrick,Boon 11,0,0,0,0
,242,Registered Voters,,,Warrick,Boon 12,,,,564
,243,Ballots Cast,,,Warrick,Boon 12,187,,,
Mike Braun,244,U.S. Senate,,R,Warrick,Boon 12,79,25,0,104
Joe Donnelly,245,U.S. Senate,,D,Warrick,Boon 12,93,43,0,136
Lucy M Brenton,246,U.S. Senate,,L,Warrick,Boon 12,9,1,0,10
Write in,247,U.S. Senate,,,Warrick,Boon 12,0,0,0,0
Connie Lawson,248,Secretary of State,,R,Warrick,Boon 12,85,27,0,112
Jim Harper,249,Secretary of State,,D,Warrick,Boon 12,88,37,0,125
Mark W. Rutherford,250,Secretary of State,,L,Warrick,Boon 12,8,2,0,10
Write in,251,Secretary of State,,,Warrick,Boon 12,0,0,0,0
Tera Klutz,252,Auditor of State,,R,Warrick,Boon 12,87,24,0,111
Joselyn Whitticker,253,Auditor of State,,D,Warrick,Boon 12,88,41,0,129
John Schick,254,Auditor of State,,L,Warrick,Boon 12,4,0,0,4
Kelly Mitchell,255,Treasurer of State,,R,Warrick,Boon 12,96,30,0,126
John C. Aguilera,256,Treasurer of State,,D,Warrick,Boon 12,85,37,0,122
Larry D Bucshon,257,U.S. House,8,R,Warrick,Boon 12,97,32,0,129
William Tanoos,258,U.S. House,8,D,Warrick,Boon 12,83,38,0,121
Write in,259,U.S. House,8,,Warrick,Boon 12,0,0,0,0
Mark Messmer,260,State Senate,48,R,Warrick,Boon 12,122,38,0,160
No Candidate Filed,261,State Senate,48,D,Warrick,Boon 12,0,0,0,0
Ron Bacon ,262,State Representative,75,R,Warrick,Boon 12,92,35,0,127
,263,Registered Voters,,,Warrick,Boon 13,,,,447
,264,Ballots Cast,,,Warrick,Boon 13,200,,,
Mike Braun,265,U.S. Senate,,R,Warrick,Boon 13,119,38,0,157
Joe Donnelly,266,U.S. Senate,,D,Warrick,Boon 13,70,42,0,112
Lucy M Brenton,267,U.S. Senate,,L,Warrick,Boon 13,8,0,0,8
Write in,268,U.S. Senate,,,Warrick,Boon 13,0,0,0,0
Connie Lawson,269,Secretary of State,,R,Warrick,Boon 13,122,41,0,163
Jim Harper,270,Secretary of State,,D,Warrick,Boon 13,66,38,0,104
Mark W. Rutherford,271,Secretary of State,,L,Warrick,Boon 13,4,1,0,5
Write in,272,Secretary of State,,,Warrick,Boon 13,0,0,0,0
Tera Klutz,273,Auditor of State,,R,Warrick,Boon 13,123,37,0,160
Joselyn Whitticker,274,Auditor of State,,D,Warrick,Boon 13,63,41,0,104
John Schick,275,Auditor of State,,L,Warrick,Boon 13,3,1,0,4
Kelly Mitchell,276,Treasurer of State,,R,Warrick,Boon 13,131,39,0,170
John C. Aguilera,277,Treasurer of State,,D,Warrick,Boon 13,58,41,0,99
Larry D Bucshon,278,U.S. House,8,R,Warrick,Boon 13,130,43,0,173
William Tanoos,279,U.S. House,8,D,Warrick,Boon 13,66,38,0,104
Write in,280,U.S. House,8,,Warrick,Boon 13,0,0,0,0
Mark Messmer,281,State Senate,48,R,Warrick,Boon 13,148,49,0,197
No Candidate Filed,282,State Senate,48,D,Warrick,Boon 13,0,0,0,0
,283,Registered Voters,,,Warrick,Boon 14,,,,275
,284,Ballots Cast,,,Warrick,Boon 14,74,,,
Mike Braun,285,U.S. Senate,,R,Warrick,Boon 14,34,8,0,42
Joe Donnelly,286,U.S. Senate,,D,Warrick,Boon 14,33,11,0,44
Lucy M Brenton,287,U.S. Senate,,L,Warrick,Boon 14,7,0,0,7
Write in,288,U.S. Senate,,,Warrick,Boon 14,0,0,0,0
Connie Lawson,289,Secretary of State,,R,Warrick,Boon 14,38,8,0,46
Jim Harper,290,Secretary of State,,D,Warrick,Boon 14,27,9,0,36
Mark W. Rutherford,291,Secretary of State,,L,Warrick,Boon 14,7,2,0,9
Write in,292,Secretary of State,,,Warrick,Boon 14,0,0,0,0
Tera Klutz,293,Auditor of State,,R,Warrick,Boon 14,33,8,0,41
Joselyn Whitticker,294,Auditor of State,,D,Warrick,Boon 14,32,10,0,42
John Schick,295,Auditor of State,,L,Warrick,Boon 14,7,1,0,8
Kelly Mitchell,296,Treasurer of State,,R,Warrick,Boon 14,42,11,0,53
John C. Aguilera,297,Treasurer of State,,D,Warrick,Boon 14,29,8,0,37
Larry D Bucshon,298,U.S. House,8,R,Warrick,Boon 14,42,8,0,50
William Tanoos,299,U.S. House,8,D,Warrick,Boon 14,31,11,0,42
Write in,300,U.S. House,8,,Warrick,Boon 14,0,0,0,0
Ron Bacon ,301,State Representative,75,R,Warrick,Boon 14,40,11,0,51
John Hurley ,302,State Representative,75,D,Warrick,Boon 14,32,8,0,40
,303,Registered Voters,,,Warrick,Boon 15,,,,1464
,304,Ballots Cast,,,Warrick,Boon 15,458,,,
Mike Braun,305,U.S. Senate,,R,Warrick,Boon 15,298,225,0,523
Joe Donnelly,306,U.S. Senate,,D,Warrick,Boon 15,147,142,0,289
Lucy M Brenton,307,U.S. Senate,,L,Warrick,Boon 15,11,6,0,17
Write in,308,U.S. Senate,,,Warrick,Boon 15,0,0,0,0
Connie Lawson,309,Secretary of State,,R,Warrick,Boon 15,309,233,0,542
Jim Harper,310,Secretary of State,,D,Warrick,Boon 15,129,126,0,255
Mark W. Rutherford,311,Secretary of State,,L,Warrick,Boon 15,10,7,0,17
Write in,312,Secretary of State,,,Warrick,Boon 15,0,0,0,0
Tera Klutz,313,Auditor of State,,R,Warrick,Boon 15,304,233,0,537
Joselyn Whitticker,314,Auditor of State,,D,Warrick,Boon 15,126,124,0,250
John Schick,315,Auditor of State,,L,Warrick,Boon 15,11,5,0,16
Kelly Mitchell,316,Treasurer of State,,R,Warrick,Boon 15,331,237,0,568
John C. Aguilera,317,Treasurer of State,,D,Warrick,Boon 15,116,127,0,243
Larry D Bucshon,318,U.S. House,8,R,Warrick,Boon 15,323,236,0,559
William Tanoos,319,U.S. House,8,D,Warrick,Boon 15,131,133,0,264
Write in,320,U.S. House,8,,Warrick,Boon 15,1,0,0,1
Mark Messmer,321,State Senate,48,R,Warrick,Boon 15,379,271,0,650
No Candidate Filed,322,State Senate,48,D,Warrick,Boon 15,0,0,0,0
,323,Registered Voters,,,Warrick,Campbell,,,,761
,324,Ballots Cast,,,Warrick,Campbell,364,,,
Mike Braun,325,U.S. Senate,,R,Warrick,Campbell,259,57,0,316
Joe Donnelly,326,U.S. Senate,,D,Warrick,Campbell,96,50,0,146
Lucy M Brenton,327,U.S. Senate,,L,Warrick,Campbell,8,3,0,11
Write in,328,U.S. Senate,,,Warrick,Campbell,0,0,0,0
Connie Lawson,329,Secretary of State,,R,Warrick,Campbell,265,63,0,328
Jim Harper,330,Secretary of State,,D,Warrick,Campbell,89,45,0,134
Mark W. Rutherford,331,Secretary of State,,L,Warrick,Campbell,8,1,0,9
Write in,332,Secretary of State,,,Warrick,Campbell,0,0,0,0
Tera Klutz,333,Auditor of State,,R,Warrick,Campbell,260,59,0,319
Joselyn Whitticker,334,Auditor of State,,D,Warrick,Campbell,88,46,0,134
John Schick,335,Auditor of State,,L,Warrick,Campbell,5,2,0,7
Kelly Mitchell,336,Treasurer of State,,R,Warrick,Campbell,272,66,0,338
John C. Aguilera,337,Treasurer of State,,D,Warrick,Campbell,85,43,0,128
Larry D Bucshon,338,U.S. House,8,R,Warrick,Campbell,277,61,0,338
William Tanoos,339,U.S. House,8,D,Warrick,Campbell,81,48,0,129
Write in,340,U.S. House,8,,Warrick,Campbell,1,0,0,1
Ron Bacon ,341,State Representative,75,R,Warrick,Campbell,278,65,0,343
John Hurley ,342,State Representative,75,D,Warrick,Campbell,83,43,0,126
,343,Registered Voters,,,Warrick,Greer 1,,,,810
,344,Ballots Cast,,,Warrick,Greer 1,385,,,
Mike Braun,345,U.S. Senate,,R,Warrick,Greer 1,245,23,0,268
Joe Donnelly,346,U.S. Senate,,D,Warrick,Greer 1,114,16,0,130
Lucy M Brenton,347,U.S. Senate,,L,Warrick,Greer 1,18,0,0,18
Write in,348,U.S. Senate,,,Warrick,Greer 1,0,0,0,0
Connie Lawson,349,Secretary of State,,R,Warrick,Greer 1,248,26,0,274
Jim Harper,350,Secretary of State,,D,Warrick,Greer 1,109,12,0,121
Mark W. Rutherford,351,Secretary of State,,L,Warrick,Greer 1,12,0,0,12
Write in,352,Secretary of State,,,Warrick,Greer 1,0,0,0,0
Tera Klutz,353,Auditor of State,,R,Warrick,Greer 1,245,26,0,271
Joselyn Whitticker,354,Auditor of State,,D,Warrick,Greer 1,109,12,0,121
John Schick,355,Auditor of State,,L,Warrick,Greer 1,10,0,0,10
Kelly Mitchell,356,Treasurer of State,,R,Warrick,Greer 1,259,26,0,285
John C. Aguilera,357,Treasurer of State,,D,Warrick,Greer 1,107,12,0,119
Larry D Bucshon,358,U.S. House,8,R,Warrick,Greer 1,266,26,0,292
William Tanoos,359,U.S. House,8,D,Warrick,Greer 1,110,13,0,123
Write in,360,U.S. House,8,,Warrick,Greer 1,1,0,0,1
Ron Bacon ,361,State Representative,75,R,Warrick,Greer 1,252,25,0,277
John Hurley ,362,State Representative,75,D,Warrick,Greer 1,127,14,0,141
,363,Registered Voters,,,Warrick,Greer 2,,,,542
,364,Ballots Cast,,,Warrick,Greer 2,285,,,
Mike Braun,365,U.S. Senate,,R,Warrick,Greer 2,191,22,0,213
Joe Donnelly,366,U.S. Senate,,D,Warrick,Greer 2,77,12,0,89
Lucy M Brenton,367,U.S. Senate,,L,Warrick,Greer 2,11,0,0,11
Write in,368,U.S. Senate,,,Warrick,Greer 2,0,0,0,0
