candidate,id,office,district,party,county,precinct,election_day,absentee,provisional,votes
,1,Registered Voters,,,Warrick,Anderson,,,,851
,2,Ballots Cast,,,Warrick,Anderson,416,82,0,498
Mike Braun,3,U.S. Senate,,R,Warrick,Anderson,252,51,0,303
Joe Donnelly,4,U.S. Senate,,D,Warrick,Anderson,141,30,0,171
Lucy M Brenton,5,U.S. Senate,,L,Warrick,Anderson,17,1,0,18
Write in,6,U.S. Senate,,,Warrick,Anderson,0,0,0,0
Connie Lawson,7,Secretary of State,,R,Warrick,Anderson,269,51,0,320
Jim Harper,8,Secretary of State,,D,Warrick,Anderson,123,25,0,148
Mark W. Rutherford,9,Secretary of State,,L,Warrick,Anderson,12,4,0,16
Write in,10,Secretary of State,,,Warrick,Anderson,1,0,0,1
Tera Klutz,11,Auditor of State,,R,Warrick,Anderson,263,51,0,314
Joselyn Whitticker,12,Auditor of State,,D,Warrick,Anderson,122,27,0,149
John Schick,13,Auditor of State,,L,Warrick,Anderson,15,2,0,17
Kelly Mitchell,14,Treasurer of State,,R,Warrick,Anderson,284,53,0,337
John C. Aguilera,15,Treasurer of State,,D,Warrick,Anderson,117,27,0,144
Larry D Bucshon,16,U.S. House,8,R,Warrick,Anderson,279,51,0,330
William Tanoos,17,U.S. House,8,D,Warrick,Anderson,129,29,0,158
Write in,18,U.S. House,8,,Warrick,Anderson,0,0,0,0
Mark Messmer,19,State Senate,48,R,Warrick,Anderson,329,58,0,387
No Candidate Filed,20,State Senate,48,D,Warrick,Anderson,0,0,0,0
,21,Registered Voters,,,Warrick,Boon 1,,,,290
,22,Ballots Cast,,,Warrick,Boon 1,78,50,0,128
Mike Braun,23,U.S. Senate,,R,Warrick,Boon 1,47,27,0,74
Joe Donnelly,24,U.S. Senate,,D,Warrick,Boon 1,27,23,0,50
Lucy M Brenton,25,U.S. Senate,,L,Warrick,Boon 1,4,0,0,4
Write in,26,U.S. Senate,,,Warrick,Boon 1,0,0,0,0
Connie Lawson,27,Secretary of State,,R,Warrick,Boon 1,50,29,0,79
Jim Harper,28,Secretary of State,,D,Warrick,Boon 1,25,20,0,45
Mark W. Rutherford,29,Secretary of State,,L,Warrick,Boon 1,3,1,0,4
Write in,30,Secretary of State,,,Warrick,Boon 1,0,0,0,0
Tera Klutz,31,Auditor of State,,R,Warrick,Boon 1,45,30,0,75
Joselyn Whitticker,32,Auditor of State,,D,Warrick,Boon 1,25,20,0,45
John Schick,33,Auditor of State,,L,Warrick,Boon 1,7,0,0,7
Kelly Mitchell,34,Treasurer of State,,R,Warrick,Boon 1,58,30,0,86
John C. Aguilera,35,Treasurer of State,,D,Warrick,Boon 1,21,20,0,41
Larry D Bucshon,36,U.S. House,8,R,Warrick,Boon 1,50,28,0,78
William Tanoos,37,U.S. House,8,D,Warrick,Boon 1,27,22,0,49
Write in,38,U.S. House,8,,Warrick,Boon 1,0,0,0,0
Mark Messmer,39,State Senate,48,R,Warrick,Boon 1,64,30,0,94
No Candidate Filed,40,State Senate,48,D,Warrick,Boon 1,0,0,0,0
,41,Registered Voters,,,Warrick,Boon 2,,,,708
,42,Ballots Cast,,,Warrick,Boon 2,239,86,0,325
Mike Braun,43,U.S. Senate,,R,Warrick,Boon 2,114,36,0,150
Joe Donnelly,44,U.S. Senate,,D,Warrick,Boon 2,113,46,0,159
Lucy M Brenton,45,U.S. Senate,,L,Warrick,Boon 2,10,1,0,11
Write in,46,U.S. Senate,,,Warrick,Boon 2,0,0,0,0
Connie Lawson,47,Secretary of State,,R,Warrick,Boon 2,122,42,0,164
Jim Harper,48,Secretary of State,,D,Warrick,Boon 2,98,38,0,136
Mark W. Rutherford,49,Secretary of State,,L,Warrick,Boon 2,7,1,0,8
Write in,50,Secretary of State,,,Warrick,Boon 2,1,0,0,1
Tera Klutz,51,Auditor of State,,R,Warrick,Boon 2,122,38,0,160
Joselyn Whitticker,52,Auditor of State,,D,Warrick,Boon 2,98,42,0,140
John Schick,53,Auditor of State,,L,Warrick,Boon 2,8,1,0,9
Kelly Mitchell,54,Treasurer of State,,R,Warrick,Boon 2,139,44,0,183
John C. Aguilera,55,Treasurer of State,,D,Warrick,Boon 2,92,38,0,130
Larry D Bucshon,56,U.S. House,8,R,Warrick,Boon 2,133,43,0,176
William Tanoos,57,U.S. House,8,D,Warrick,Boon 2,101,40,0,141
Write in,58,U.S. House,8,,Warrick,Boon 2,0,0,0,0
Mark Messmer,59,State Senate,48,R,Warrick,Boon 2,171,52,0,223
No Candidate Filed,60,State Senate,48,D,Warrick,Boon 2,0,0,0,0
,61,Registered Voters,,,Warrick,Boon 3,,,,562
,62,Ballots Cast,,,Warrick,Boon 3,244,74,0,318
Mike Braun,63,U.S. Senate,,R,Warrick,Boon 3,133,41,0,174
Joe Donnelly,64,U.S. Senate,,D,Warrick,Boon 3,95,27,0,122
Lucy M Brenton,65,U.S. Senate,,L,Warrick,Boon 3,11,3,0,14
Write in,66,U.S. Senate,,,Warrick,Boon 3,0,0,0,0
Connie Lawson,67,Secretary of State,,R,Warrick,Boon 3,138,43,0,181
Jim Harper,68,Secretary of State,,D,Warrick,Boon 3,85,26,0,111
Mark W. Rutherford,69,Secretary of State,,L,Warrick,Boon 3,10,1,0,11
Write in,70,Secretary of State,,,Warrick,Boon 3,0,0,0,0
Tera Klutz,71,Auditor of State,,R,Warrick,Boon 3,138,40,0,178
Joselyn Whitticker,72,Auditor of State,,D,Warrick,Boon 3,85,26,0,111
