county,precinct,office,district,candidate,party,absentee,election_day,votes
Harrison,FEDERAL,Ballots Cast,,,,,,0
Harrison,1,Ballots Cast,,,,,,387
Harrison,2,Ballots Cast,,,,,,459
Harrison,3,Ballots Cast,,,,,,267
Harrison,4,Ballots Cast,,,,,,311
Harrison,5,Ballots Cast,,,,,,477
Harrison,6,Ballots Cast,,,,,,396
Harrison,7,Ballots Cast,,,,,,565
Harrison,37,Ballots Cast,,,,,,493
Harrison,8,Ballots Cast,,,,,,492
Harrison,9,Ballots Cast,,,,,,388
Harrison,10,Ballots Cast,,,,,,541
Harrison,36,Ballots Cast,,,,,,544
Harrison,38,Ballots Cast,,,,,,461
Harrison,11,Ballots Cast,,,,,,279
Harrison,35,Ballots Cast,,,,,,407
Harrison,39,Ballots Cast,,,,,,316
Harrison,12,Ballots Cast,,,,,,524
Harrison,13,Ballots Cast,,,,,,497
Harrison,14,Ballots Cast,,,,,,458
Harrison,15,Ballots Cast,,,,,,225
Harrison,16,Ballots Cast,,,,,,195
Harrison,17,Ballots Cast,,,,,,514
Harrison,18,Ballots Cast,,,,,,388
Harrison,19,Ballots Cast,,,,,,493
Harrison,20,Ballots Cast,,,,,,577
Harrison,32,Ballots Cast,,,,,,411
Harrison,21,Ballots Cast,,,,,,422
Harrison,22,Ballots Cast,,,,,,370
Harrison,23,Ballots Cast,,,,,,500
Harrison,30,Ballots Cast,,,,,,161
Harrison,24,Ballots Cast,,,,,,461
Harrison,25,Ballots Cast,,,,,,340
Harrison,26,Ballots Cast,,,,,,483
Harrison,27,Ballots Cast,,,,,,417
Harrison,28,Ballots Cast,,,,,,417
Harrison,29,Ballots Cast,,,,,,303
Harrison,31,Ballots Cast,,,,,,178
Harrison,33,Ballots Cast,,,,,,374
Harrison,34,Ballots Cast,,,,,,343
Harrison,FEDERAL,Straight Party,,Republican Party,REP,0,0,0
Harrison,1,Straight Party,,Republican Party,REP,20,85,105
Harrison,2,Straight Party,,Republican Party,REP,27,73,100
Harrison,3,Straight Party,,Republican Party,REP,14,61,75
Harrison,4,Straight Party,,Republican Party,REP,10,62,72
Harrison,5,Straight Party,,Republican Party,REP,29,80,109
Harrison,6,Straight Party,,Republican Party,REP,12,93,105
Harrison,7,Straight Party,,Republican Party,REP,21,93,114
Harrison,37,Straight Party,,Republican Party,REP,19,106,125
Harrison,8,Straight Party,,Republican Party,REP,41,72,113
Harrison,9,Straight Party,,Republican Party,REP,26,78,104
Harrison,10,Straight Party,,Republican Party,REP,43,93,136
Harrison,36,Straight Party,,Republican Party,REP,48,79,127
Harrison,38,Straight Party,,Republican Party,REP,35,100,135
Harrison,11,Straight Party,,Republican Party,REP,24,32,56
Harrison,35,Straight Party,,Republican Party,REP,30,61,91
Harrison,39,Straight Party,,Republican Party,REP,21,51,72
Harrison,12,Straight Party,,Republican Party,REP,19,77,96
Harrison,13,Straight Party,,Republican Party,REP,30,84,114
Harrison,14,Straight Party,,Republican Party,REP,33,66,99
Harrison,15,Straight Party,,Republican Party,REP,9,50,59
Harrison,16,Straight Party,,Republican Party,REP,9,42,51
