candidate,office,district,party,county,precinct,votes,,,
,Registered Voters,,,Hancock,BLUE RIVER 1,1100,,,
,Ballots Cast,,,Hancock,BLUE RIVER 1,692,,,
,Straight Party,,R,Hancock,BLUE RIVER 1,237,,,
,Straight Party,,D,Hancock,BLUE RIVER 1,25,,,
,Straight Party,,L,Hancock,BLUE RIVER 1,0,,,
Mike Braun,U.S. Senate,,R,Hancock,BLUE RIVER 1,520,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BLUE RIVER 1,140,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BLUE RIVER 1,30,,,
Write in,U.S. Senate,,,Hancock,BLUE RIVER 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,BLUE RIVER 1,546,,,
Jim Harper,Secretary of State,,D,Hancock,BLUE RIVER 1,115,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,BLUE RIVER 1,22,,,
Write in,Secretary of State,,,Hancock,BLUE RIVER 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,BLUE RIVER 1,535,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,BLUE RIVER 1,114,,,
John Schick,Auditor of State,,L,Hancock,BLUE RIVER 1,30,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,BLUE RIVER 1,566,,,
John C. Aguilera,Treasurer of State,,D,Hancock,BLUE RIVER 1,112,,,
Greg Pence,US House,,R,Hancock,BLUE RIVER 1,536,,,
Jeannine Lee Lake,US House,,D,Hancock,BLUE RIVER 1,129,,,
Tom Ferkinhoff,US House,,L,Hancock,BLUE RIVER 1,24,,,
Write in,US House,,,Hancock,BLUE RIVER 1,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,BLUE RIVER 1,549,,,
Nancy Tibbett,State Representative,53,D,Hancock,BLUE RIVER 1,134,,,
,Registered Voters,,,Hancock,BROWN 1,1012,,,
,Ballots Cast,,,Hancock,BROWN 1,548,,,
,Straight Party,,R,Hancock,BROWN 1,187,,,
,Straight Party,,D,Hancock,BROWN 1,46,,,
,Straight Party,,L,Hancock,BROWN 1,3,,,
Mike Braun,U.S. Senate,,R,Hancock,BROWN 1,393,,,
Joe Donnelly,U.S. Senate,,D,Hancock,BROWN 1,132,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,BROWN 1,22,,,
