candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
,Registered Voters,,,Dubois,Marion 2,,,,755,
,Ballots Cast,,,Dubois,Marion 2,104,58,0,162,
Mike Braun,U S Senate,,REP,Dubois,Marion 2,55,24,0,79,
Luke Messer,U S Senate,,REP,Dubois,Marion 2,8,5,0,13,
Todd Rokita,U S Senate,,REP,Dubois,Marion 2,3,5,0,8,
Joe Donnelly,U S Senate,,DEM,Dubois,Marion 2,28,20,0,48,
Larry D Bucshon,U S House,8,REP,Dubois,Marion 2,17,18,0,35,
Rachel Covington,U S House,8,REP,Dubois,Marion 2,10,2,0,12,
Richard Moss,U S House,8,REP,Dubois,Marion 2,32,12,0,44,
William Tanoos,U S House,8,DEM,Dubois,Marion 2,24,15,0,39,
Erin Houchin,State Senate,47,REP,Dubois,Marion 2,46,31,0,77,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Marion 2,28,17,0,45,
Shane M Lindauer,State Representative,63,REP,Dubois,Marion 2,44,30,0,74,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Marion 2,29,11,0,40,
Dennis Tedrow,State Representative,63,DEM,Dubois,Marion 2,6,9,0,15,
,Registered Voters,,,Dubois,Patoka 1,,,,946,
,Ballots Cast,,,Dubois,Patoka 1,118,22,0,140,
Mike Braun,U S Senate,,REP,Dubois,Patoka 1,71,11,0,82,
Luke Messer,U S Senate,,REP,Dubois,Patoka 1,13,2,0,15,
Todd Rokita,U S Senate,,REP,Dubois,Patoka 1,15,3,0,18,
Joe Donnelly,U S Senate,,DEM,Dubois,Patoka 1,16,4,0,20,
Larry D Bucshon,U S House,8,REP,Dubois,Patoka 1,51,8,0,59,
Rachel Covington,U S House,8,REP,Dubois,Patoka 1,6,1,0,7,
Richard Moss,U S House,8,REP,Dubois,Patoka 1,41,7,0,48,
William Tanoos,U S House,8,DEM,Dubois,Patoka 1,16,5,0,21,
Mark Messmer,State Senate,48,REP,Dubois,Patoka 1,94,13,0,107,
No Candidate Filed,State Senate,48,DEM,Dubois,Patoka 1,0,0,0,0,
Stephen R Bartels,State Representative,74,REP,Dubois,Patoka 1,89,10,0,99,
Larry K Kleeman,State Representative,74,DEM,Dubois,Patoka 1,17,5,0,22,
,Registered Voters,,,Dubois,Patoka 2,,,,856,
,Ballots Cast,,,Dubois,Patoka 2,94,21,0,115,
Mike Braun,U S Senate,,REP,Dubois,Patoka 2,44,11,0,55,
Luke Messer,U S Senate,,REP,Dubois,Patoka 2,14,4,0,18,
Todd Rokita,U S Senate,,REP,Dubois,Patoka 2,5,2,0,7,
Joe Donnelly,U S Senate,,DEM,Dubois,Patoka 2,29,3,0,32,
Larry D Bucshon,U S House,8,REP,Dubois,Patoka 2,26,8,0,34,
Rachel Covington,U S House,8,REP,Dubois,Patoka 2,6,3,0,9,
Richard Moss,U S House,8,REP,Dubois,Patoka 2,31,6,0,37,
William Tanoos,U S House,8,DEM,Dubois,Patoka 2,23,2,0,25,
Mark Messmer,State Senate,48,REP,Dubois,Patoka 2,60,17,0,77,
No Candidate Filed,State Senate,48,DEM,Dubois,Patoka 2,0,0,0,0,
Stephen R Bartels,State Representative,74,REP,Dubois,Patoka 2,57,16,0,73,
Larry K Kleeman,State Representative,74,DEM,Dubois,Patoka 2,26,4,0,30,
,Registered Voters,,,Dubois,Patoka 3,,,,899,
,Ballots Cast,,,Dubois,Patoka 3,86,25,0,111,
Mike Braun,U S Senate,,REP,Dubois,Patoka 3,48,10,0,58,
Luke Messer,U S Senate,,REP,Dubois,Patoka 3,14,5,0,19,
Todd Rokita,U S Senate,,REP,Dubois,Patoka 3,7,2,0,9,
Joe Donnelly,U S Senate,,DEM,Dubois,Patoka 3,13,7,0,20,
Larry D Bucshon,U S House,8,REP,Dubois,Patoka 3,27,9,0,36,
Rachel Covington,U S House,8,REP,Dubois,Patoka 3,4,2,0,6,
Richard Moss,U S House,8,REP,Dubois,Patoka 3,38,6,0,44,
William Tanoos,U S House,8,DEM,Dubois,Patoka 3,12,6,0,18,
Mark Messmer,State Senate,48,REP,Dubois,Patoka 3,65,15,0,80,
No Candidate Filed,State Senate,48,DEM,Dubois,Patoka 3,0,0,0,0,
Stephen R Bartels,State Representative,74,REP,Dubois,Patoka 3,59,16,0,75,
Larry K Kleeman,State Representative,74,DEM,Dubois,Patoka 3,13,8,0,21,
,Registered Voters,,,Dubois,Patoka 4,,,,780,
,Ballots Cast,,,Dubois,Patoka 4,55,14,0,69,
Mike Braun,U S Senate,,REP,Dubois,Patoka 4,26,2,0,28,
Luke Messer,U S Senate,,REP,Dubois,Patoka 4,7,1,0,8,
Todd Rokita,U S Senate,,REP,Dubois,Patoka 4,3,0,0,3,
Joe Donnelly,U S Senate,,DEM,Dubois,Patoka 4,18,8,0,26,
Larry D Bucshon,U S House,8,REP,Dubois,Patoka 4,21,1,0,22,
Rachel Covington,U S House,8,REP,Dubois,Patoka 4,1,0,0,1,
Richard Moss,U S House,8,REP,Dubois,Patoka 4,14,2,0,16,
William Tanoos,U S House,8,DEM,Dubois,Patoka 4,17,5,0,22,
Mark Messmer,State Senate,48,REP,Dubois,Patoka 4,33,3,0,36,
No Candidate Filed,State Senate,48,DEM,Dubois,Patoka 4,0,0,0,0,
Stephen R Bartels,State Representative,74,REP,Dubois,Patoka 4,32,3,0,35,
Larry K Kleeman,State Representative,74,DEM,Dubois,Patoka 4,19,7,0,26,
,Registered Voters,,,Dubois,Patoka 5,,,,347,
,Ballots Cast,,,Dubois,Patoka 5,39,12,0,51,
Mike Braun,U S Senate,,REP,Dubois,Patoka 5,22,5,0,27,
Luke Messer,U S Senate,,REP,Dubois,Patoka 5,0,4,0,4,
Todd Rokita,U S Senate,,REP,Dubois,Patoka 5,6,1,0,7,
Joe Donnelly,U S Senate,,DEM,Dubois,Patoka 5,7,1,0,8,
Larry D Bucshon,U S House,8,REP,Dubois,Patoka 5,20,7,0,27,
Rachel Covington,U S House,8,REP,Dubois,Patoka 5,2,3,0,5,
Richard Moss,U S House,8,REP,Dubois,Patoka 5,6,0,0,6,
William Tanoos,U S House,8,DEM,Dubois,Patoka 5,6,0,0,6,
Mark Messmer,State Senate,48,REP,Dubois,Patoka 5,27,8,0,35,
No Candidate Filed,State Senate,48,DEM,Dubois,Patoka 5,0,0,0,0,
Stephen R Bartels,State Representative,74,REP,Dubois,Patoka 5,24,6,0,30,
Larry K Kleeman,State Representative,74,DEM,Dubois,Patoka 5,7,0,0,7,
