candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Franklin,Batesville I,1302
,Ballots Cast - Total ,,,Franklin,Batesville I,223
Mike Braun,U.S. Senate,,REP,Franklin,Batesville I,45
Luke Messer,U.S. Senate,,REP,Franklin,Batesville I,130
Todd Rokita,U.S. Senate,,REP,Franklin,Batesville I,20
Mike Campbell,U S House,6,REP,Franklin,Batesville I,11
Jonathan M Lamb,U S House,6,REP,Franklin,Batesville I,41
Stephen M Mackenzie,U S House,6,REP,Franklin,Batesville I,8
Greg Pence,U S House,6,REP,Franklin,Batesville I,129
Jeff Smith,U S House,6,REP,Franklin,Batesville I,5
Jeff Raatz,State Senate,27,REP,Franklin,Batesville I,
Mark Bacon,State Representative,55,REP,Franklin,Batesville I,59
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Batesville I,134
Randy Lyness ,State Representative,68,REP,Franklin,Batesville I,
Joe Donnelly,U S Senate,,DEM,Franklin,Batesville I,23
George T Holland,U S House,6,DEM,Franklin,Batesville I,4
Jeannine Lee Lake,U S House,6,DEM,Franklin,Batesville I,7
K Lave,U S House,6,DEM,Franklin,Batesville I,0
Jim Pruett,U S House,6,DEM,Franklin,Batesville I,8
Lane Siekman,U S House,6,DEM,Franklin,Batesville I,5
Joshua Williamson,U S House,6,DEM,Franklin,Batesville I,2
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Batesville I,
Matt Gaustad,State Representative,68,DEM,Franklin,Batesville I,
,Registered Voters,,,Franklin,Bath,253
,Ballots Cast - Total ,,,Franklin,Bath,56
Mike Braun,U.S. Senate,,REP,Franklin,Bath,2
Luke Messer,U.S. Senate,,REP,Franklin,Bath,25
Todd Rokita,U.S. Senate,,REP,Franklin,Bath,12
Mike Campbell,U S House,6,REP,Franklin,Bath,3
Jonathan M Lamb,U S House,6,REP,Franklin,Bath,14
Stephen M Mackenzie,U S House,6,REP,Franklin,Bath,4
Greg Pence,U S House,6,REP,Franklin,Bath,18
Jeff Smith,U S House,6,REP,Franklin,Bath,1
Jeff Raatz,State Senate,27,REP,Franklin,Bath,32
Mark Bacon,State Representative,55,REP,Franklin,Bath,
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Bath,
Randy Lyness ,State Representative,68,REP,Franklin,Bath,32
Joe Donnelly,U S Senate,,DEM,Franklin,Bath,13
George T Holland,U S House,6,DEM,Franklin,Bath,1
Jeannine Lee Lake,U S House,6,DEM,Franklin,Bath,7
K Lave,U S House,6,DEM,Franklin,Bath,0
Jim Pruett,U S House,6,DEM,Franklin,Bath,1
Lane Siekman,U S House,6,DEM,Franklin,Bath,2
Joshua Williamson,U S House,6,DEM,Franklin,Bath,3
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Bath,14
Matt Gaustad,State Representative,68,DEM,Franklin,Bath,13
,Registered Voters,,,Franklin,Blooming Grove,768
,Ballots Cast - Total ,,,Franklin,Blooming Grove,217
Mike Braun,U.S. Senate,,REP,Franklin,Blooming Grove,38
Luke Messer,U.S. Senate,,REP,Franklin,Blooming Grove,101
Todd Rokita,U.S. Senate,,REP,Franklin,Blooming Grove,29
Mike Campbell,U S House,6,REP,Franklin,Blooming Grove,11
Jonathan M Lamb,U S House,6,REP,Franklin,Blooming Grove,55
Stephen M Mackenzie,U S House,6,REP,Franklin,Blooming Grove,8
Greg Pence,U S House,6,REP,Franklin,Blooming Grove,92
Jeff Smith,U S House,6,REP,Franklin,Blooming Grove,7
Jeff Raatz,State Senate,27,REP,Franklin,Blooming Grove,141
Mark Bacon,State Representative,55,REP,Franklin,Blooming Grove,
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Blooming Grove,
Randy Lyness ,State Representative,68,REP,Franklin,Blooming Grove,137
Joe Donnelly,U S Senate,,DEM,Franklin,Blooming Grove,21
George T Holland,U S House,6,DEM,Franklin,Blooming Grove,3
Jeannine Lee Lake,U S House,6,DEM,Franklin,Blooming Grove,7
K Lave,U S House,6,DEM,Franklin,Blooming Grove,0
Jim Pruett,U S House,6,DEM,Franklin,Blooming Grove,8
Lane Siekman,U S House,6,DEM,Franklin,Blooming Grove,4
Joshua Williamson,U S House,6,DEM,Franklin,Blooming Grove,2
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Blooming Grove,22
Matt Gaustad,State Representative,68,DEM,Franklin,Blooming Grove,21
,Registered Voters,,,Franklin,Brookville I,589
,Ballots Cast - Total ,,,Franklin,Brookville I,111
Mike Braun,U.S. Senate,,REP,Franklin,Brookville I,18
Luke Messer,U.S. Senate,,REP,Franklin,Brookville I,44
Todd Rokita,U.S. Senate,,REP,Franklin,Brookville I,11
Mike Campbell,U S House,6,REP,Franklin,Brookville I,1
Jonathan M Lamb,U S House,6,REP,Franklin,Brookville I,18
Stephen M Mackenzie,U S House,6,REP,Franklin,Brookville I,4
Greg Pence,U S House,6,REP,Franklin,Brookville I,50
Jeff Smith,U S House,6,REP,Franklin,Brookville I,1
Jeff Raatz,State Senate,27,REP,Franklin,Brookville I,65
Mark Bacon,State Representative,55,REP,Franklin,Brookville I,
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Brookville I,
Randy Lyness ,State Representative,68,REP,Franklin,Brookville I,60
Joe Donnelly,U S Senate,,DEM,Franklin,Brookville I,26
George T Holland,U S House,6,DEM,Franklin,Brookville I,3
Jeannine Lee Lake,U S House,6,DEM,Franklin,Brookville I,12
K Lave,U S House,6,DEM,Franklin,Brookville I,0
Jim Pruett,U S House,6,DEM,Franklin,Brookville I,5
Lane Siekman,U S House,6,DEM,Franklin,Brookville I,6
Joshua Williamson,U S House,6,DEM,Franklin,Brookville I,1
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Brookville I,26
Matt Gaustad,State Representative,68,DEM,Franklin,Brookville I,23
,Registered Voters,,,Franklin,Brookville II,862
,Ballots Cast - Total ,,,Franklin,Brookville II,289
Mike Braun,U.S. Senate,,REP,Franklin,Brookville II,46
Luke Messer,U.S. Senate,,REP,Franklin,Brookville II,131
Todd Rokita,U.S. Senate,,REP,Franklin,Brookville II,33
Mike Campbell,U S House,6,REP,Franklin,Brookville II,24
Jonathan M Lamb,U S House,6,REP,Franklin,Brookville II,72
Stephen M Mackenzie,U S House,6,REP,Franklin,Brookville II,9
Greg Pence,U S House,6,REP,Franklin,Brookville II,115
Jeff Smith,U S House,6,REP,Franklin,Brookville II,4
Jeff Raatz,State Senate,27,REP,Franklin,Brookville II,186
Mark Bacon,State Representative,55,REP,Franklin,Brookville II,
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Brookville II,
Randy Lyness ,State Representative,68,REP,Franklin,Brookville II,181
Joe Donnelly,U S Senate,,DEM,Franklin,Brookville II,30
George T Holland,U S House,6,DEM,Franklin,Brookville II,3
Jeannine Lee Lake,U S House,6,DEM,Franklin,Brookville II,8
K Lave,U S House,6,DEM,Franklin,Brookville II,1
Jim Pruett,U S House,6,DEM,Franklin,Brookville II,6
Lane Siekman,U S House,6,DEM,Franklin,Brookville II,11
Joshua Williamson,U S House,6,DEM,Franklin,Brookville II,3
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Brookville II,31
Matt Gaustad,State Representative,68,DEM,Franklin,Brookville II,30
,Registered Voters,,,Franklin,Brookville III,769
,Ballots Cast - Total ,,,Franklin,Brookville III,217
Mike Braun,U.S. Senate,,REP,Franklin,Brookville III,34
Luke Messer,U.S. Senate,,REP,Franklin,Brookville III,106
Todd Rokita,U.S. Senate,,REP,Franklin,Brookville III,28
Mike Campbell,U S House,6,REP,Franklin,Brookville III,20
Jonathan M Lamb,U S House,6,REP,Franklin,Brookville III,47
Stephen M Mackenzie,U S House,6,REP,Franklin,Brookville III,7
Greg Pence,U S House,6,REP,Franklin,Brookville III,92
Jeff Smith,U S House,6,REP,Franklin,Brookville III,4
Jeff Raatz,State Senate,27,REP,Franklin,Brookville III,143
Mark Bacon,State Representative,55,REP,Franklin,Brookville III,
Cindy Meyer Ziemke,State Representative,55,REP,Franklin,Brookville III,
Randy Lyness ,State Representative,68,REP,Franklin,Brookville III,137
Joe Donnelly,U S Senate,,DEM,Franklin,Brookville III,17
George T Holland,U S House,6,DEM,Franklin,Brookville III,0
Jeannine Lee Lake,U S House,6,DEM,Franklin,Brookville III,3
K Lave,U S House,6,DEM,Franklin,Brookville III,0
Jim Pruett,U S House,6,DEM,Franklin,Brookville III,2
Lane Siekman,U S House,6,DEM,Franklin,Brookville III,11
Joshua Williamson,U S House,6,DEM,Franklin,Brookville III,0
Jerome Jake Hoog,State Senate,27,DEM,Franklin,Brookville III,16
