candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Martin,Perry 1,633
,Ballots Cast,,,Martin,Perry 1,379
,Straight Party,,R,Martin,Perry 1,51
,Straight Party,,D,Martin,Perry 1,24
,Straight Party,,L,Martin,Perry 1,2
Mike Braun,U.S. Senate,,R,Martin,Perry 1,240
Joe Donnelly,U.S. Senate,,D,Martin,Perry 1,110
Lucy M Brenton,U.S. Senate,,L,Martin,Perry 1,21
Write in,U.S. Senate,,,Martin,Perry 1,1
Connie Lawson,Secretary of State,,R,Martin,Perry 1,247
Jim Harper,Secretary of State,,D,Martin,Perry 1,94
Mark W. Rutherford,Secretary of State,,L,Martin,Perry 1,11
Write in,Secretary of State,,,Martin,Perry 1,1
Tera Klutz,Auditor of State,,R,Martin,Perry 1,233
Joselyn Whitticker,Auditor of State,,D,Martin,Perry 1,94
John Schick,Auditor of State,,L,Martin,Perry 1,15
Kelly Mitchell,Treasurer of State,,R,Martin,Perry 1,249
John C. Aguilera,Treasurer of State,,D,Martin,Perry 1,89
Larry D Bucshon,U.S. House,,R,Martin,Perry 1,267
William Tanoos,U.S. House,,D,Martin,Perry 1,96
Write in,U.S. House,,,Martin,Perry 1,0
Eric S Bassler,State Senate,39,R,Martin,Perry 1,290
Shane M Lindauer,State Representative,63,R,Martin,Perry 1,132
"Joseph ""Joe"" Lannan",State Representative,63,D,Martin,Perry 1,237
,Registered Voters,,,Martin,Perry 2,453
,Ballots Cast,,,Martin,Perry 2,257
,Straight Party,,R,Martin,Perry 2,22
,Straight Party,,D,Martin,Perry 2,13
,Straight Party,,L,Martin,Perry 2,2
Mike Braun,U.S. Senate,,R,Martin,Perry 2,158
Joe Donnelly,U.S. Senate,,D,Martin,Perry 2,79
Lucy M Brenton,U.S. Senate,,L,Martin,Perry 2,12
Write in,U.S. Senate,,,Martin,Perry 2,0
Connie Lawson,Secretary of State,,R,Martin,Perry 2,160
Jim Harper,Secretary of State,,D,Martin,Perry 2,73
Mark W. Rutherford,Secretary of State,,L,Martin,Perry 2,5
Write in,Secretary of State,,,Martin,Perry 2,0
Tera Klutz,Auditor of State,,R,Martin,Perry 2,147
Joselyn Whitticker,Auditor of State,,D,Martin,Perry 2,78
John Schick,Auditor of State,,L,Martin,Perry 2,6
Kelly Mitchell,Treasurer of State,,R,Martin,Perry 2,165
John C. Aguilera,Treasurer of State,,D,Martin,Perry 2,65
Larry D Bucshon,U.S. House,,R,Martin,Perry 2,166
William Tanoos,U.S. House,,D,Martin,Perry 2,76
Write in,U.S. House,,,Martin,Perry 2,1
Eric S Bassler,State Senate,39,R,Martin,Perry 2,194
Shane M Lindauer,State Representative,63,R,Martin,Perry 2,91
"Joseph ""Joe"" Lannan",State Representative,63,D,Martin,Perry 2,158
,Registered Voters,,,Martin,Perry 3,404
,Ballots Cast,,,Martin,Perry 3,179
,Straight Party,,R,Martin,Perry 3,33
,Straight Party,,D,Martin,Perry 3,16
,Straight Party,,L,Martin,Perry 3,1
Mike Braun,U.S. Senate,,R,Martin,Perry 3,122
Joe Donnelly,U.S. Senate,,D,Martin,Perry 3,43
Lucy M Brenton,U.S. Senate,,L,Martin,Perry 3,9
Write in,U.S. Senate,,,Martin,Perry 3,0
Connie Lawson,Secretary of State,,R,Martin,Perry 3,114
Jim Harper,Secretary of State,,D,Martin,Perry 3,50
Mark W. Rutherford,Secretary of State,,L,Martin,Perry 3,8
Write in,Secretary of State,,,Martin,Perry 3,1
Tera Klutz,Auditor of State,,R,Martin,Perry 3,109
Joselyn Whitticker,Auditor of State,,D,Martin,Perry 3,51
John Schick,Auditor of State,,L,Martin,Perry 3,10
Kelly Mitchell,Treasurer of State,,R,Martin,Perry 3,117
John C. Aguilera,Treasurer of State,,D,Martin,Perry 3,49
Larry D Bucshon,U.S. House,,R,Martin,Perry 3,123
William Tanoos,U.S. House,,D,Martin,Perry 3,48
Write in,U.S. House,,,Martin,Perry 3,0
Eric S Bassler,State Senate,39,R,Martin,Perry 3,144
Shane M Lindauer,State Representative,63,R,Martin,Perry 3,77
"Joseph ""Joe"" Lannan",State Representative,63,D,Martin,Perry 3,98
,Registered Voters,,,Martin,Perry 4,506
,Ballots Cast,,,Martin,Perry 4,274
,Straight Party,,R,Martin,Perry 4,42
,Straight Party,,D,Martin,Perry 4,15
,Straight Party,,L,Martin,Perry 4,0
Mike Braun,U.S. Senate,,R,Martin,Perry 4,186
Joe Donnelly,U.S. Senate,,D,Martin,Perry 4,69
Lucy M Brenton,U.S. Senate,,L,Martin,Perry 4,15
Write in,U.S. Senate,,,Martin,Perry 4,0
Connie Lawson,Secretary of State,,R,Martin,Perry 4,188
Jim Harper,Secretary of State,,D,Martin,Perry 4,57
Mark W. Rutherford,Secretary of State,,L,Martin,Perry 4,9
Write in,Secretary of State,,,Martin,Perry 4,0
Tera Klutz,Auditor of State,,R,Martin,Perry 4,173
Joselyn Whitticker,Auditor of State,,D,Martin,Perry 4,71
John Schick,Auditor of State,,L,Martin,Perry 4,8
Kelly Mitchell,Treasurer of State,,R,Martin,Perry 4,175
John C. Aguilera,Treasurer of State,,D,Martin,Perry 4,71
Larry D Bucshon,U.S. House,,R,Martin,Perry 4,194
William Tanoos,U.S. House,,D,Martin,Perry 4,66
Write in,U.S. House,,,Martin,Perry 4,0
Eric S Bassler,State Senate,39,R,Martin,Perry 4,212
Shane M Lindauer,State Representative,63,R,Martin,Perry 4,127
"Joseph ""Joe"" Lannan",State Representative,63,D,Martin,Perry 4,141
,Registered Voters,,,Martin,Perry 5,454
,Ballots Cast,,,Martin,Perry 5,269
,Straight Party,,R,Martin,Perry 5,35
,Straight Party,,D,Martin,Perry 5,17
,Straight Party,,L,Martin,Perry 5,0
Mike Braun,U.S. Senate,,R,Martin,Perry 5,180
Joe Donnelly,U.S. Senate,,D,Martin,Perry 5,82
Lucy M Brenton,U.S. Senate,,L,Martin,Perry 5,5
Write in,U.S. Senate,,,Martin,Perry 5,0
Connie Lawson,Secretary of State,,R,Martin,Perry 5,189
Jim Harper,Secretary of State,,D,Martin,Perry 5,70
