candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Dekalb,Butler 1,,,,416
,Ballots Cast,,,Dekalb,Butler 1,129,89,0,218
Mike Braun,U.S. Senate,,R,Dekalb,Butler 1,90,54,0,144
Joe Donnelly,U.S. Senate,,D,Dekalb,Butler 1,34,30,0,64
Lucy M Brenton,U.S. Senate,,L,Dekalb,Butler 1,3,2,0,5
Write in,U.S. Senate,,,Dekalb,Butler 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Dekalb,Butler 1,96,56,0,152
Jim Harper,Secretary of State,,D,Dekalb,Butler 1,29,28,0,57
Mark W. Rutherford,Secretary of State,,L,Dekalb,Butler 1,1,3,0,4
Write in,Secretary of State,,,Dekalb,Butler 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Dekalb,Butler 1,97,56,0,153
Joselyn Whitticker,Auditor of State,,D,Dekalb,Butler 1,25,29,0,54
John Schick,Auditor of State,,L,Dekalb,Butler 1,2,1,0,3
Kelly Mitchell,Treasurer of State,,R,Dekalb,Butler 1,99,54,0,153
John C. Aguilera,Treasurer of State,,D,Dekalb,Butler 1,27,32,0,59
Jim Banks,U.S. House,3,R,Dekalb,Butler 1,97,57,0,154
Courtney Tritch,U.S. House,3,D,Dekalb,Butler 1,29,30,0,59
Write in,U.S. House,3,,Dekalb,Butler 1,0,0,0,0
Ben Smaltz,State Representative,52,R,Dekalb,Butler 1,99,58,0,157
Martha Lemert,State Representative,52,D,Dekalb,Butler 1,28,28,0,56
,Registered Voters,,,Dekalb,Butler 2,,,,828
,Ballots Cast,,,Dekalb,Butler 2,301,160,0,461
Mike Braun,U.S. Senate,,R,Dekalb,Butler 2,213,96,0,309
Joe Donnelly,U.S. Senate,,D,Dekalb,Butler 2,76,61,0,137
Lucy M Brenton,U.S. Senate,,L,Dekalb,Butler 2,11,2,0,13
Write in,U.S. Senate,,,Dekalb,Butler 2,0,0,0,0
