candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Lawrence,Shawswick 1A,,,,379
,Ballots Cast,,,Lawrence,Shawswick 1A,,,,100
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 1A,48,42,0,90
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 1A,36,30,0,66
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 1A,15,1,0,16
Write in,U.S. Senate,,,Lawrence,Shawswick 1A,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 1A,60,50,0,110
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 1A,30,23,0,53
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 1A,6,0,0,6
Write in,Secretary of State,,,Lawrence,Shawswick 1A,0,0,0,0
Tera Klutz,Auditor of State,,R,Lawrence,Shawswick 1A,56,45,0,101
Joselyn Whitticker,Auditor of State,,D,Lawrence,Shawswick 1A,29,25,0,54
John Schick,Auditor of State,,L,Lawrence,Shawswick 1A,7,2,0,9
Kelly Mitchell,Treasurer of State,,R,Lawrence,Shawswick 1A,62,48,0,110
John C. Aguilera,Treasurer of State,,D,Lawrence,Shawswick 1A,30,24,0,54
Trey Hollingsworth,U.S. House,9,R,Lawrence,Shawswick 1A,55,47,0,102
Liz Watson,U.S. House,9,D,Lawrence,Shawswick 1A,43,25,0,68
Write in,US House,9,,Lawrence,Shawswick 1A,0,0,0,0
Chris D May,State Representative,65,R,Lawrence,Shawswick 1A,63,50,0,113
Jared Stancombe,State Representative,65,D,Lawrence,Shawswick 1A,33,23,0,56
,Registered Voters,,,Lawrence,Shawswick 1B,,,,519
,Ballots Cast,,,Lawrence,Shawswick 1B,,,,152
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 1B,89,65,0,154
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 1B,52,28,0,80
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 1B,9,4,0,13
Write in,U.S. Senate,,,Lawrence,Shawswick 1B,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 1B,96,75,0,171
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 1B,46,21,0,67
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 1B,5,2,0,7
Write in,Secretary of State,,,Lawrence,Shawswick 1B,0,0,0,0
Tera Klutz,Auditor of State,,R,Lawrence,Shawswick 1B,96,72,0,168
Joselyn Whitticker,Auditor of State,,D,Lawrence,Shawswick 1B,47,21,0,68
John Schick,Auditor of State,,L,Lawrence,Shawswick 1B,5,2,0,7
Kelly Mitchell,Treasurer of State,,R,Lawrence,Shawswick 1B,99,72,0,171
John C. Aguilera,Treasurer of State,,D,Lawrence,Shawswick 1B,49,22,0,71
Trey Hollingsworth,U.S. House,9,R,Lawrence,Shawswick 1B,99,68,0,167
Liz Watson,U.S. House,9,D,Lawrence,Shawswick 1B,52,28,0,80
Write in,US House,9,,Lawrence,Shawswick 1B,0,0,0,0
Chris D May,State Representative,65,R,Lawrence,Shawswick 1B,98,70,0,168
Jared Stancombe,State Representative,65,D,Lawrence,Shawswick 1B,53,26,0,79
,Registered Voters,,,Lawrence,Shawswick 2,,,,581
,Ballots Cast,,,Lawrence,Shawswick 2,,,,129
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 2,76,105,0,181
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 2,41,43,0,84
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 2,11,11,0,22
Write in,U.S. Senate,,,Lawrence,Shawswick 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 2,88,108,0,196
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 2,32,39,0,71
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 2,7,7,0,14
Write in,Secretary of State,,,Lawrence,Shawswick 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Lawrence,Shawswick 2,80,104,0,184
Joselyn Whitticker,Auditor of State,,D,Lawrence,Shawswick 2,35,40,0,75
John Schick,Auditor of State,,L,Lawrence,Shawswick 2,9,3,0,12
Kelly Mitchell,Treasurer of State,,R,Lawrence,Shawswick 2,89,109,0,198
John C. Aguilera,Treasurer of State,,D,Lawrence,Shawswick 2,34,39,0,73
Trey Hollingsworth,U.S. House,9,R,Lawrence,Shawswick 2,81,106,0,187
Liz Watson,U.S. House,9,D,Lawrence,Shawswick 2,46,52,0,98
Write in,US House,9,,Lawrence,Shawswick 2,0,0,0,0
Chris D May,State Representative,65,R,Lawrence,Shawswick 2,88,118,0,206
Jared Stancombe,State Representative,65,D,Lawrence,Shawswick 2,40,38,0,78
,Registered Voters,,,Lawrence,Shawswick 3,,,,658
,Ballots Cast,,,Lawrence,Shawswick 3,,,,161
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 3,110,68,0,178
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 3,43,45,0,88
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 3,8,1,0,9
Write in,U.S. Senate,,,Lawrence,Shawswick 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 3,109,72,0,181
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 3,34,38,0,72
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 3,15,3,0,18
Write in,Secretary of State,,,Lawrence,Shawswick 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Lawrence,Shawswick 3,105,71,0,176
Joselyn Whitticker,Auditor of State,,D,Lawrence,Shawswick 3,34,39,0,73
John Schick,Auditor of State,,L,Lawrence,Shawswick 3,8,1,0,9
Kelly Mitchell,Treasurer of State,,R,Lawrence,Shawswick 3,114,71,0,185
John C. Aguilera,Treasurer of State,,D,Lawrence,Shawswick 3,34,40,0,74
Trey Hollingsworth,U.S. House,9,R,Lawrence,Shawswick 3,113,71,0,184
Liz Watson,U.S. House,9,D,Lawrence,Shawswick 3,45,44,0,89
Write in,US House,9,,Lawrence,Shawswick 3,0,0,0,0
Chris D May,State Representative,65,R,Lawrence,Shawswick 3,115,75,0,190
Jared Stancombe,State Representative,65,D,Lawrence,Shawswick 3,43,37,0,80
,Registered Voters,,,Lawrence,Shawswick 4,,,,653
,Ballots Cast,,,Lawrence,Shawswick 4,,,,174
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 4,100,92,0,192
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 4,49,54,0,103
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 4,18,8,0,26
Write in,U.S. Senate,,,Lawrence,Shawswick 4,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 4,112,100,0,212
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 4,39,50,0,89
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 4,15,5,0,20
Write in,Secretary of State,,,Lawrence,Shawswick 4,0,0,0,0
Tera Klutz,Auditor of State,,R,Lawrence,Shawswick 4,109,98,0,207
Joselyn Whitticker,Auditor of State,,D,Lawrence,Shawswick 4,42,47,0,89
John Schick,Auditor of State,,L,Lawrence,Shawswick 4,14,5,0,19
Kelly Mitchell,Treasurer of State,,R,Lawrence,Shawswick 4,123,100,0,223
John C. Aguilera,Treasurer of State,,D,Lawrence,Shawswick 4,41,51,0,92
Trey Hollingsworth,U.S. House,9,R,Lawrence,Shawswick 4,103,92,0,195
Liz Watson,U.S. House,9,D,Lawrence,Shawswick 4,64,63,0,127
Write in,US House,9,,Lawrence,Shawswick 4,0,0,0,0
Chris D May,State Representative,65,R,Lawrence,Shawswick 4,122,99,0,221
Jared Stancombe,State Representative,65,D,Lawrence,Shawswick 4,48,56,0,104
,Registered Voters,,,Lawrence,Shawswick 5A,,,,587
,Ballots Cast,,,Lawrence,Shawswick 5A,,,,188
Mike Braun,U.S. Senate,,R,Lawrence,Shawswick 5A,117,54,0,171
Joe Donnelly,U.S. Senate,,D,Lawrence,Shawswick 5A,58,47,0,105
Lucy M Brenton,U.S. Senate,,L,Lawrence,Shawswick 5A,10,8,0,18
Write in,U.S. Senate,,,Lawrence,Shawswick 5A,0,0,0,0
Connie Lawson,Secretary of State,,R,Lawrence,Shawswick 5A,123,62,0,185
Jim Harper,Secretary of State,,D,Lawrence,Shawswick 5A,49,45,0,94
Mark W. Rutherford,Secretary of State,,L,Lawrence,Shawswick 5A,9,2,0,11
