county,precinct,office,district,party,candidate,election_day,absentee,provisional,votes
Grant,Center 01,Auditor,,Rep,Tera Klutz,86,39,0,125
Grant,Center 01,Auditor,,Dem,Joselyn Whitticker,90,41,0,131
Grant,Center 01,Auditor,,Lbt,John Schick,10,3,0,13
Grant,Center 01,Ballots Cast,,,,190,86,0,276
Grant,Center 01,Registered Voters,,,,,,,849
Grant,Center 01,Secretary of State,,Rep,Connie Lawson,98,41,0,139
Grant,Center 01,Secretary of State,,Dem,Jim Harper,76,35,0,111
Grant,Center 01,Secretary of State,,Lbt,Mark Rutherford,11,3,0,14
Grant,Center 01,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 01,State House,31,Rep,Kevin Mahan,98,40,0,138
Grant,Center 01,State House,31,Dem,Lynn Johnson,85,42,0,127
Grant,Center 01,State Senate,17,Rep,Andy Zay,91,41,0,132
Grant,Center 01,State Senate,17,Dem,Gary Snyder,91,41,0,132
Grant,Center 01,Treasurer,,Rep,Kelly Mitchell,101,44,0,145
Grant,Center 01,Treasurer,,Dem,John Aguilera,80,37,0,117
Grant,Center 01,U.S. House,5,Rep,Susan Brooks,106,46,0,152
Grant,Center 01,U.S. House,5,Dem,Dee Thornton,78,36,0,114
Grant,Center 01,U.S. House,5,,Write-ins,1,0,0,1
Grant,Center 01,U.S. Senate,,Rep,Mike Braun,86,37,0,123
Grant,Center 01,U.S. Senate,,Dem,Joe Donnelly,89,37,0,126
Grant,Center 01,U.S. Senate,,Lbt,Lucy Brenton,10,7,0,17
Grant,Center 01,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 02,Auditor,,Rep,Tera Klutz,79,33,0,112
Grant,Center 02,Auditor,,Dem,Joselyn Whitticker,80,30,0,110
Grant,Center 02,Auditor,,Lbt,John Schick,10,5,0,15
Grant,Center 02,Ballots Cast,,,,171,68,0,239
Grant,Center 02,Registered Voters,,,,,,,623
Grant,Center 02,Secretary of State,,Rep,Connie Lawson,89,35,0,124
Grant,Center 02,Secretary of State,,Dem,Jim Harper,66,29,0,95
Grant,Center 02,Secretary of State,,Lbt,Mark Rutherford,12,4,0,16
Grant,Center 02,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 02,State House,31,Rep,Kevin Mahan,92,37,0,129
Grant,Center 02,State House,31,Dem,Lynn Johnson,77,29,0,106
Grant,Center 02,State Senate,17,Rep,Andy Zay,87,33,0,120
Grant,Center 02,State Senate,17,Dem,Gary Snyder,82,32,0,114
Grant,Center 02,Treasurer,,Rep,Kelly Mitchell,94,37,0,131
Grant,Center 02,Treasurer,,Dem,John Aguilera,71,30,0,101
Grant,Center 02,U.S. House,5,Rep,Susan Brooks,95,37,0,132
Grant,Center 02,U.S. House,5,Dem,Dee Thornton,73,30,0,103
Grant,Center 02,U.S. House,5,,Write-ins,0,0,0,0
Grant,Center 02,U.S. Senate,,Rep,Mike Braun,76,33,0,109
Grant,Center 02,U.S. Senate,,Dem,Joe Donnelly,85,32,0,117
Grant,Center 02,U.S. Senate,,Lbt,Lucy Brenton,9,3,0,12
Grant,Center 02,U.S. Senate,,,Write-ins,0,0,0,0
Grant,Center 03,Auditor,,Rep,Tera Klutz,26,2,0,28
Grant,Center 03,Auditor,,Dem,Joselyn Whitticker,87,37,0,124
Grant,Center 03,Auditor,,Lbt,John Schick,4,3,0,7
Grant,Center 03,Ballots Cast,,,,119,43,0,162
Grant,Center 03,Registered Voters,,,,,,,754
Grant,Center 03,Secretary of State,,Rep,Connie Lawson,32,2,0,34
Grant,Center 03,Secretary of State,,Dem,Jim Harper,79,32,0,111
Grant,Center 03,Secretary of State,,Lbt,Mark Rutherford,4,5,0,9
Grant,Center 03,Secretary of State,,,Write-ins,0,0,0,0
Grant,Center 03,State House,31,Rep,Kevin Mahan,31,4,0,35
Grant,Center 03,State House,31,Dem,Lynn Johnson,84,37,0,121
Grant,Center 03,State Senate,17,Rep,Andy Zay,31,1,0,32
Grant,Center 03,State Senate,17,Dem,Gary Snyder,84,39,0,123
Grant,Center 03,Treasurer,,Rep,Kelly Mitchell,35,2,0,37
Grant,Center 03,Treasurer,,Dem,John Aguilera,80,36,0,116
Grant,Center 03,U.S. House,5,Rep,Susan Brooks,33,3,0,36
