county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Vermillion,Cayuga,Ballots Cast,,,,195,36,0,231
Vermillion,Cayuga,Registered Voters,,,,,,,675
Vermillion,Cayuga,U.S. Senate,,Joe Donnelly,DEM,116,22,0,138
Vermillion,Cayuga,U.S. Senate,,Mike Braun,REP,21,2,0,23
Vermillion,Cayuga,U.S. Senate,,Luke Messser,REP,17,2,0,19
Vermillion,Cayuga,U.S. Senate,,Todd Rokita,REP,10,2,0,12
Vermillion,Cayuga,U.S. House,8,William Tanoos,DEM,85,23,0,108
Vermillion,Cayuga,U.S. House,8,Larry D. Bucshon,REP,37,4,0,41
Vermillion,Cayuga,U.S. House,8,Rachel Covington,REP,7,1,0,8
Vermillion,Cayuga,U.S. House,8,Richard Moss,REP,6,2,0,8
Vermillion,Cayuga,State Senate,23,No Candidate Filed,DEM,0,0,0,0
Vermillion,Cayuga,State Senate,23,Philip L. (Phil) Boots,REP,44,6,0,50
Vermillion,Cayuga,State House,42,Evelyn Brown,DEM,90,18,0,108
Vermillion,Cayuga,State House,42,Alan Morrison,REP,49,7,0,56
Vermillion,Clinton City 1,Ballots Cast,,,,157,45,0,202
Vermillion,Clinton City 1,Registered Voters,,,,,,,745
Vermillion,Clinton City 1,U.S. Senate,,Joe Donnelly,DEM,93,27,0,120
Vermillion,Clinton City 1,U.S. Senate,,Mike Braun,REP,10,5,0,15
Vermillion,Clinton City 1,U.S. Senate,,Luke Messser,REP,7,1,0,8
Vermillion,Clinton City 1,U.S. Senate,,Todd Rokita,REP,4,1,0,5
Vermillion,Clinton City 1,U.S. House,8,William Tanoos,DEM,85,24,0,109
Vermillion,Clinton City 1,U.S. House,8,Larry D. Bucshon,REP,15,5,0,20
Vermillion,Clinton City 1,U.S. House,8,Rachel Covington,REP,2,0,0,2
Vermillion,Clinton City 1,U.S. House,8,Richard Moss,REP,5,2,0,7
Vermillion,Clinton City 1,State Senate,23,No Candidate Filed,DEM,0,0,0,0
Vermillion,Clinton City 1,State Senate,23,Philip L. (Phil) Boots,REP,18,5,0,23
Vermillion,Clinton City 1,State House,42,Evelyn Brown,DEM,83,25,0,108
Vermillion,Clinton City 1,State House,42,Alan Morrison,REP,18,5,0,23
Vermillion,Clinton City 2,Ballots Cast,,,,124,33,0,157
Vermillion,Clinton City 2,Registered Voters,,,,,,,621
Vermillion,Clinton City 2,U.S. Senate,,Joe Donnelly,DEM,71,17,0,88
Vermillion,Clinton City 2,U.S. Senate,,Mike Braun,REP,12,3,0,15
Vermillion,Clinton City 2,U.S. Senate,,Luke Messser,REP,1,2,0,3
Vermillion,Clinton City 2,U.S. Senate,,Todd Rokita,REP,16,4,0,20
Vermillion,Clinton City 2,U.S. House,8,William Tanoos,DEM,66,14,0,80
Vermillion,Clinton City 2,U.S. House,8,Larry D. Bucshon,REP,16,3,0,19
Vermillion,Clinton City 2,U.S. House,8,Rachel Covington,REP,6,4,0,10
Vermillion,Clinton City 2,U.S. House,8,Richard Moss,REP,8,2,0,10
Vermillion,Clinton City 2,State Senate,23,No Candidate Filed,DEM,0,0,0,0
Vermillion,Clinton City 2,State Senate,23,Philip L. (Phil) Boots,REP,27,7,0,34
Vermillion,Clinton City 2,State House,42,Evelyn Brown,DEM,64,16,0,80
Vermillion,Clinton City 2,State House,42,Alan Morrison,REP,27,5,0,32
Vermillion,Clinton City 3,Ballots Cast,,,,146,37,0,183
Vermillion,Clinton City 3,Registered Voters,,,,,,,631
Vermillion,Clinton City 3,U.S. Senate,,Joe Donnelly,DEM,81,24,0,105
Vermillion,Clinton City 3,U.S. Senate,,Mike Braun,REP,20,2,0,22
Vermillion,Clinton City 3,U.S. Senate,,Luke Messser,REP,9,0,0,9
