county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Tipton,Cicero 1,Ballots Cast,,,,237,31,0,268
Tipton,Cicero 1,Registered Voters,,,,,,,866
Tipton,Cicero 1,U.S. Senate,,Mike Braun,REP,79,10,0,89
Tipton,Cicero 1,U.S. Senate,,Luke Messer,REP,48,6,0,54
Tipton,Cicero 1,U.S. Senate,,Todd Rokita,REP,56,7,0,63
Tipton,Cicero 1,U.S. Senate,,Joe Donnelly,DEM,34,1,0,35
Tipton,Cicero 1,U.S. House,,Susan W. Brooks,REP,168,20,0,188
Tipton,Cicero 1,U.S. House,,Dion Douglas,DEM,2,0,0,2
Tipton,Cicero 1,U.S. House,,Sean Dugdale,DEM,0,0,0,0
Tipton,Cicero 1,U.S. House,,Eshel Faraggi,DEM,2,0,0,2
Tipton,Cicero 1,U.S. House,,Kyle Moore,DEM,11,0,0,11
Tipton,Cicero 1,U.S. House,,Dee Thornton,DEM,16,1,0,17
Tipton,Cicero 1,State Senate,21,James R. Buck,REP,162,18,0,180
Tipton,Cicero 1,State Senate,21,Christina Fivecoate,DEM,32,1,0,33
Tipton,Cicero 1,State House,32,"Anthony J. ""Tony"" Cook",REP,155,20,0,175
Tipton,Cicero 1,State House,32,Amie Neiling,DEM,27,1,0,28
Tipton,Cicero 2,Ballots Cast,,,,203,67,0,270
Tipton,Cicero 2,Registered Voters,,,,,,,858
Tipton,Cicero 2,U.S. Senate,,Mike Braun,REP,72,14,0,86
Tipton,Cicero 2,U.S. Senate,,Luke Messer,REP,43,21,0,64
Tipton,Cicero 2,U.S. Senate,,Todd Rokita,REP,45,16,0,61
Tipton,Cicero 2,U.S. Senate,,Joe Donnelly,DEM,24,7,0,31
Tipton,Cicero 2,U.S. House,,Susan W. Brooks,REP,158,48,0,206
Tipton,Cicero 2,U.S. House,,Dion Douglas,DEM,1,1,0,2
Tipton,Cicero 2,U.S. House,,Sean Dugdale,DEM,3,0,0,3
Tipton,Cicero 2,U.S. House,,Eshel Faraggi,DEM,1,0,0,1
Tipton,Cicero 2,U.S. House,,Kyle Moore,DEM,7,3,0,10
Tipton,Cicero 2,U.S. House,,Dee Thornton,DEM,9,3,0,12
Tipton,Cicero 2,State Senate,21,James R. Buck,REP,144,42,0,186
Tipton,Cicero 2,State Senate,21,Christina Fivecoate,DEM,21,4,0,25
Tipton,Cicero 2,State House,32,"Anthony J. ""Tony"" Cook",REP,145,39,0,184
Tipton,Cicero 2,State House,32,Amie Neiling,DEM,21,6,0,27
Tipton,Cicero 3,Ballots Cast,,,,197,42,0,239
Tipton,Cicero 3,Registered Voters,,,,,,,869
Tipton,Cicero 3,U.S. Senate,,Mike Braun,REP,63,19,0,82
Tipton,Cicero 3,U.S. Senate,,Luke Messer,REP,38,5,0,43
Tipton,Cicero 3,U.S. Senate,,Todd Rokita,REP,50,11,0,61
Tipton,Cicero 3,U.S. Senate,,Joe Donnelly,DEM,21,4,0,25
Tipton,Cicero 3,U.S. House,,Susan W. Brooks,REP,147,32,0,179
Tipton,Cicero 3,U.S. House,,Dion Douglas,DEM,4,0,0,4
Tipton,Cicero 3,U.S. House,,Sean Dugdale,DEM,2,0,0,2
Tipton,Cicero 3,U.S. House,,Eshel Faraggi,DEM,1,1,0,2
