county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Owen,Clay I,Ballots Cast,,,,129,59,0,188
Owen,Clay I,Registered Voters,,,,,,,827
Owen,Clay I,U.S. Senate,,Mike Braun,REP,45,20,0,65
Owen,Clay I,U.S. Senate,,Luke Messer,REP,21,7,0,28
Owen,Clay I,U.S. Senate,,Todd Rokita,REP,28,8,0,36
Owen,Clay I,U.S. Senate,,Joe Donnelly,DEM,27,20,0,47
Owen,Clay I,U.S. House,8,Larry D. Bucshon,REP,41,22,0,63
Owen,Clay I,U.S. House,8,Rachel Covington,REP,24,5,0,29
Owen,Clay I,U.S. House,8,Richard Moss,REP,22,8,0,30
Owen,Clay I,U.S. House,8,William Tanoos,DEM,24,13,0,37
Owen,Clay I,State Senate,39,Eric S. Bassler,REP,83,30,0,113
Owen,Clay I,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Owen,Clay I,State House,46,Bob Heaton,REP,84,34,0,118
Owen,Clay I,State House,46,E. Thomasina Marsili,DEM,25,13,0,38
Owen,Clay II,Ballots Cast,,,,158,58,0,216
Owen,Clay II,Registered Voters,,,,,,,875
Owen,Clay II,U.S. Senate,,Mike Braun,REP,50,18,0,68
Owen,Clay II,U.S. Senate,,Luke Messer,REP,24,6,0,30
Owen,Clay II,U.S. Senate,,Todd Rokita,REP,30,11,0,41
Owen,Clay II,U.S. Senate,,Joe Donnelly,DEM,33,20,0,53
Owen,Clay II,U.S. House,8,Larry D. Bucshon,REP,46,28,0,74
Owen,Clay II,U.S. House,8,Rachel Covington,REP,30,4,0,34
Owen,Clay II,U.S. House,8,Richard Moss,REP,29,3,0,32
Owen,Clay II,U.S. House,8,William Tanoos,DEM,31,16,0,47
Owen,Clay II,State Senate,39,Eric S. Bassler,REP,91,34,0,125
Owen,Clay II,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Owen,Clay II,State House,46,Bob Heaton,REP,96,34,0,130
Owen,Clay II,State House,46,E. Thomasina Marsili,DEM,24,18,0,42
Owen,Franklin,Ballots Cast,,,,172,63,1,236
Owen,Franklin,Registered Voters,,,,,,,811
Owen,Franklin,U.S. Senate,,Mike Braun,REP,36,23,1,60
Owen,Franklin,U.S. Senate,,Luke Messer,REP,31,9,0,40
Owen,Franklin,U.S. Senate,,Todd Rokita,REP,28,10,0,38
Owen,Franklin,U.S. Senate,,Joe Donnelly,DEM,55,13,0,68
Owen,Franklin,U.S. House,8,Larry D. Bucshon,REP,34,24,1,59
Owen,Franklin,U.S. House,8,Rachel Covington,REP,24,7,0,31
Owen,Franklin,U.S. House,8,Richard Moss,REP,32,10,0,42
Owen,Franklin,U.S. House,8,William Tanoos,DEM,43,10,0,53
Owen,Franklin,State Senate,39,Eric S. Bassler,REP,78,37,1,116
Owen,Franklin,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Owen,Franklin,State House,46,Bob Heaton,REP,85,38,1,124
Owen,Franklin,State House,46,E. Thomasina Marsili,DEM,43,11,0,54
Owen,Harrison,Ballots Cast,,,,52,16,0,68
Owen,Harrison,Registered Voters,,,,,,,259
Owen,Harrison,U.S. Senate,,Mike Braun,REP,19,4,0,23
Owen,Harrison,U.S. Senate,,Luke Messer,REP,10,2,0,12
Owen,Harrison,U.S. Senate,,Todd Rokita,REP,7,8,0,15
Owen,Harrison,U.S. Senate,,Joe Donnelly,DEM,12,0,0,12
Owen,Harrison,U.S. House,8,Larry D. Bucshon,REP,21,9,0,30
Owen,Harrison,U.S. House,8,Rachel Covington,REP,6,3,0,9
Owen,Harrison,U.S. House,8,Richard Moss,REP,10,2,0,12
Owen,Harrison,U.S. House,8,William Tanoos,DEM,8,0,0,8
Owen,Harrison,State House,44,Beau Baird,REP,21,7,0,28
Owen,Harrison,State House,44,Jess L. Norton,REP,12,6,0,18
Owen,Harrison,State House,44,Kimberly Anne Fidler,DEM,9,0,0,9
Owen,Jackson,Ballots Cast,,,,120,22,0,142
Owen,Jackson,Registered Voters,,,,,,,999
Owen,Jackson,U.S. Senate,,Mike Braun,REP,35,5,0,40
Owen,Jackson,U.S. Senate,,Luke Messer,REP,23,2,0,25
Owen,Jackson,U.S. Senate,,Todd Rokita,REP,32,6,0,38
Owen,Jackson,U.S. Senate,,Joe Donnelly,DEM,18,8,0,26
Owen,Jackson,U.S. House,8,Larry D. Bucshon,REP,38,9,0,47
Owen,Jackson,U.S. House,8,Rachel Covington,REP,33,3,0,36
Owen,Jackson,U.S. House,8,Richard Moss,REP,20,0,0,20
Owen,Jackson,U.S. House,8,William Tanoos,DEM,12,7,0,19
Owen,Jackson,State House,44,Beau Baird,REP,61,10,0,71
Owen,Jackson,State House,44,Jess L. Norton,REP,26,2,0,28
Owen,Jackson,State House,44,Kimberly Anne Fidler,DEM,20,8,0,28
Owen,Jefferson,Ballots Cast,,,,124,48,0,172
Owen,Jefferson,Registered Voters,,,,,,,620
Owen,Jefferson,U.S. Senate,,Mike Braun,REP,35,7,0,42
Owen,Jefferson,U.S. Senate,,Luke Messer,REP,19,2,0,21
Owen,Jefferson,U.S. Senate,,Todd Rokita,REP,24,11,0,35
Owen,Jefferson,U.S. Senate,,Joe Donnelly,DEM,33,22,0,55
Owen,Jefferson,U.S. House,8,Larry D. Bucshon,REP,43,12,0,55
Owen,Jefferson,U.S. House,8,Rachel Covington,REP,11,3,0,14
Owen,Jefferson,U.S. House,8,Richard Moss,REP,28,6,0,34
Owen,Jefferson,U.S. House,8,William Tanoos,DEM,19,19,0,38
Owen,Jefferson,State Senate,39,Eric S. Bassler,REP,74,17,0,91
Owen,Jefferson,State Senate,39,No Candidate Filed,DEM,0,0,0,0
Owen,Jefferson,State House,46,Bob Heaton,REP,79,19,0,98
Owen,Jefferson,State House,46,E. Thomasina Marsili,DEM,26,17,0,43
Owen,Jennings,Ballots Cast,,,,66,26,0,92
Owen,Jennings,Registered Voters,,,,,,,542
Owen,Jennings,U.S. Senate,,Mike Braun,REP,29,9,0,38
Owen,Jennings,U.S. Senate,,Luke Messer,REP,10,5,0,15
Owen,Jennings,U.S. Senate,,Todd Rokita,REP,10,3,0,13
Owen,Jennings,U.S. Senate,,Joe Donnelly,DEM,9,8,0,17
Owen,Jennings,U.S. House,8,Larry D. Bucshon,REP,24,12,0,36
Owen,Jennings,U.S. House,8,Rachel Covington,REP,8,4,0,12
Owen,Jennings,U.S. House,8,Richard Moss,REP,17,1,0,18
Owen,Jennings,U.S. House,8,William Tanoos,DEM,7,6,0,13
Owen,Jennings,State House,44,Beau Baird,REP,29,16,0,45
Owen,Jennings,State House,44,Jess L. Norton,REP,19,1,0,20
Owen,Jennings,State House,44,Kimberly Anne Fidler,DEM,12,7,0,19
Owen,Lafayette,Ballots Cast,,,,130,77,0,207
Owen,Lafayette,Registered Voters,,,,,,,792
Owen,Lafayette,U.S. Senate,,Mike Braun,REP,36,21,0,57
Owen,Lafayette,U.S. Senate,,Luke Messer,REP,20,14,0,34
Owen,Lafayette,U.S. Senate,,Todd Rokita,REP,29,11,0,40
Owen,Lafayette,U.S. Senate,,Joe Donnelly,DEM,32,24,0,56
Owen,Lafayette,U.S. House,8,Larry D. Bucshon,REP,37,28,0,65
Owen,Lafayette,U.S. House,8,Rachel Covington,REP,19,9,0,28
