candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Noble,Washington 1,,,,696
,Ballots Cast,,,Noble,Washington 1,,,,256
Mike Braun,U.S. Senate,,R,Noble,Washington 1,170,81,0,251
Joe Donnelly,U.S. Senate,,D,Noble,Washington 1,72,56,0,128
Lucy M Brenton,U.S. Senate,,L,Noble,Washington 1,10,4,0,14
Write in,U.S. Senate,,,Noble,Washington 1,0,0,0,0
Connie Lawson,Secretary of State,,R,Noble,Washington 1,180,88,0,268
Jim Harper,Secretary of State,,D,Noble,Washington 1,58,51,0,109
Mark W. Rutherford,Secretary of State,,L,Noble,Washington 1,11,2,0,13
Write in,Secretary of State,,,Noble,Washington 1,0,0,0,0
Tera Klutz,Auditor of State,,R,Noble,Washington 1,179,89,0,268
Joselyn Whitticker,Auditor of State,,D,Noble,Washington 1,55,48,0,103
John Schick,Auditor of State,,L,Noble,Washington 1,13,3,0,16
Kelly Mitchell,Treasurer of State,,R,Noble,Washington 1,186,90,0,276
John C. Aguilera,Treasurer of State,,D,Noble,Washington 1,60,49,0,109
Jim Banks,U.S. House,3,R,Noble,Washington 1,183,91,0,274
Courtney Tritch,U.S. House,3,D,Noble,Washington 1,,,,
Write in,U.S. House,3,,Noble,Washington 1,0,0,0,0
David H Abbott,State Representative,82,R,Noble,Washington 1,188,91,0,279
Mike Wilber,State Representative,82,D,Noble,Washington 1,60,47,0,107
,Registered Voters,,,Noble,Sparta 2,,,,1477
,Ballots Cast,,,Noble,Sparta 2,,,,372
Mike Braun,U.S. Senate,,R,Noble,Sparta 2,263,211,0,474
Joe Donnelly,U.S. Senate,,D,Noble,Sparta 2,91,111,0,202
Lucy M Brenton,U.S. Senate,,L,Noble,Sparta 2,14,7,0,21
Write in,U.S. Senate,,,Noble,Sparta 2,0,0,0,0
Connie Lawson,Secretary of State,,R,Noble,Sparta 2,279,236,0,515
Jim Harper,Secretary of State,,D,Noble,Sparta 2,76,88,0,164
Mark W. Rutherford,Secretary of State,,L,Noble,Sparta 2,11,5,0,16
Write in,Secretary of State,,,Noble,Sparta 2,0,0,0,0
Tera Klutz,Auditor of State,,R,Noble,Sparta 2,273,235,0,508
Joselyn Whitticker,Auditor of State,,D,Noble,Sparta 2,78,89,0,167
John Schick,Auditor of State,,L,Noble,Sparta 2,13,4,0,17
Kelly Mitchell,Treasurer of State,,R,Noble,Sparta 2,287,236,0,523
John C. Aguilera,Treasurer of State,,D,Noble,Sparta 2,77,90,0,167
Jim Banks,U.S. House,3,R,Noble,Sparta 2,285,226,0,511
Courtney Tritch,U.S. House,3,D,Noble,Sparta 2,,,,
Write in,U.S. House,3,,Noble,Sparta 2,0,0,0,0
David H Abbott,State Representative,82,R,Noble,Sparta 2,282,239,0,521
Mike Wilber,State Representative,82,D,Noble,Sparta 2,82,91,0,173
,Registered Voters,,,Noble,Perry 3,,,,872
,Ballots Cast,,,Noble,Perry 3,,,,238
Mike Braun,U.S. Senate,,R,Noble,Perry 3,163,109,0,272
Joe Donnelly,U.S. Senate,,D,Noble,Perry 3,61,24,0,85
Lucy M Brenton,U.S. Senate,,L,Noble,Perry 3,8,8,0,16
Write in,U.S. Senate,,,Noble,Perry 3,0,0,0,0
Connie Lawson,Secretary of State,,R,Noble,Perry 3,167,119,0,286
Jim Harper,Secretary of State,,D,Noble,Perry 3,57,19,0,76
Mark W. Rutherford,Secretary of State,,L,Noble,Perry 3,5,3,0,8
Write in,Secretary of State,,,Noble,Perry 3,0,0,0,0
Tera Klutz,Auditor of State,,R,Noble,Perry 3,164,117,0,281
Joselyn Whitticker,Auditor of State,,D,Noble,Perry 3,55,21,0,76
John Schick,Auditor of State,,L,Noble,Perry 3,5,3,0,8
Kelly Mitchell,Treasurer of State,,R,Noble,Perry 3,165,120,0,285
John C. Aguilera,Treasurer of State,,D,Noble,Perry 3,60,21,0,81
Jim Banks,U.S. House,3,R,Noble,Perry 3,169,119,0,288
Courtney Tritch,U.S. House,3,D,Noble,Perry 3,,,,
Write in,U.S. House,3,,Noble,Perry 3,0,0,0,0
David H Abbott,State Representative,82,R,Noble,Perry 3,173,121,0,294
Mike Wilber,State Representative,82,D,Noble,Perry 3,55,21,0,76
,Registered Voters,,,Noble,Perry 4,,,,466
,Ballots Cast,,,Noble,Perry 4,,,,115
Mike Braun,U.S. Senate,,R,Noble,Perry 4,53,18,0,71
Joe Donnelly,U.S. Senate,,D,Noble,Perry 4,49,13,0,62
Lucy M Brenton,U.S. Senate,,L,Noble,Perry 4,8,3,0,11
Write in,U.S. Senate,,,Noble,Perry 4,0,0,0,0
Connie Lawson,Secretary of State,,R,Noble,Perry 4,59,17,0,76
Jim Harper,Secretary of State,,D,Noble,Perry 4,49,14,0,63
Mark W. Rutherford,Secretary of State,,L,Noble,Perry 4,3,1,0,4
Write in,Secretary of State,,,Noble,Perry 4,0,1,0,1
Tera Klutz,Auditor of State,,R,Noble,Perry 4,58,17,0,75
Joselyn Whitticker,Auditor of State,,D,Noble,Perry 4,42,15,0,57
John Schick,Auditor of State,,L,Noble,Perry 4,8,1,0,9
Kelly Mitchell,Treasurer of State,,R,Noble,Perry 4,62,19,0,81
John C. Aguilera,Treasurer of State,,D,Noble,Perry 4,48,13,0,61
Jim Banks,U.S. House,3,R,Noble,Perry 4,62,18,0,80
Courtney Tritch,U.S. House,3,D,Noble,Perry 4,,,,
Write in,U.S. House,3,,Noble,Perry 4,0,0,0,0
David H Abbott,State Representative,82,R,Noble,Perry 4,61,18,0,79
Mike Wilber,State Representative,82,D,Noble,Perry 4,47,15,0,62
,Registered Voters,,,Noble,Perry 5,,,,408
,Ballots Cast,,,Noble,Perry 5,,,,92
Mike Braun,U.S. Senate,,R,Noble,Perry 5,45,23,0,68
Joe Donnelly,U.S. Senate,,D,Noble,Perry 5,37,9,0,46
Lucy M Brenton,U.S. Senate,,L,Noble,Perry 5,8,3,0,11
Write in,U.S. Senate,,,Noble,Perry 5,0,0,0,0
Connie Lawson,Secretary of State,,R,Noble,Perry 5,57,26,0,83
Jim Harper,Secretary of State,,D,Noble,Perry 5,28,9,0,37
