candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Pulaski,Beaver,,,,315
,Ballots Cast,,,Pulaski,Beaver,,,,122
Mike Braun,U.S. Senate,,R,Pulaski,Beaver,74,36,0,110
Joe Donnelly,U.S. Senate,,D,Pulaski,Beaver,41,16,0,57
Lucy M Brenton,U.S. Senate,,L,Pulaski,Beaver,1,4,0,5
Write in,U.S. Senate,,,Pulaski,Beaver,0,0,0,0
Connie Lawson,Secretary of State,,R,Pulaski,Beaver,88,42,0,130
Jim Harper,Secretary of State,,D,Pulaski,Beaver,23,13,0,36
Mark W. Rutherford,Secretary of State,,L,Pulaski,Beaver,2,0,0,2
Write in,Secretary of State,,,Pulaski,Beaver,0,0,0,0
Tera Klutz,Auditor of State,,R,Pulaski,Beaver,82,38,0,120
Joselyn Whitticker,Auditor of State,,D,Pulaski,Beaver,28,14,0,42
John Schick,Auditor of State,,L,Pulaski,Beaver,1,2,0,3
Kelly Mitchell,Treasurer of State,,R,Pulaski,Beaver,85,40,0,125
John C. Aguilera,Treasurer of State,,D,Pulaski,Beaver,29,14,0,43
Jackie Walorski,U.S. House,2,R,Pulaski,Beaver,89,40,0,129
Mel Hall,U.S. House,2,D,Pulaski,Beaver,29,16,0,45
Write in,U.S. House,2,,Pulaski,Beaver,0,0,0,0
Douglas L Gutwein,State Representative,16,R,Pulaski,Beaver,87,44,0,131
Christina Zacny,State Representative,16,D,Pulaski,Beaver,31,12,0,43
,Registered Voters,,,Pulaski,Cass,,,,492
,Ballots Cast,,,Pulaski,Cass,,,,196
Mike Braun,U.S. Senate,,R,Pulaski,Cass,118,13,0,131
Joe Donnelly,U.S. Senate,,D,Pulaski,Cass,71,24,0,95
Lucy M Brenton,U.S. Senate,,L,Pulaski,Cass,5,1,0,6
Write in,U.S. Senate,,,Pulaski,Cass,0,0,0,0
Connie Lawson,Secretary of State,,R,Pulaski,Cass,119,16,0,135
Jim Harper,Secretary of State,,D,Pulaski,Cass,66,21,0,87
Mark W. Rutherford,Secretary of State,,L,Pulaski,Cass,6,1,0,7
Write in,Secretary of State,,,Pulaski,Cass,0,0,0,0
Tera Klutz,Auditor of State,,R,Pulaski,Cass,115,16,0,131
Joselyn Whitticker,Auditor of State,,D,Pulaski,Cass,66,21,0,87
John Schick,Auditor of State,,L,Pulaski,Cass,8,1,0,9
Kelly Mitchell,Treasurer of State,,R,Pulaski,Cass,126,20,0,146
John C. Aguilera,Treasurer of State,,D,Pulaski,Cass,62,18,0,80
Jackie Walorski,U.S. House,2,R,Pulaski,Cass,119,19,0,138
Mel Hall,U.S. House,2,D,Pulaski,Cass,71,19,0,90
Write in,U.S. House,2,,Pulaski,Cass,0,0,0,0
Douglas L Gutwein,State Representative,16,R,Pulaski,Cass,119,20,0,139
Christina Zacny,State Representative,16,D,Pulaski,Cass,70,18,0,88
,Registered Voters,,,Pulaski,Franklin,,,,455
,Ballots Cast,,,Pulaski,Franklin,,,,145
Mike Braun,U.S. Senate,,R,Pulaski,Franklin,96,29,0,125
Joe Donnelly,U.S. Senate,,D,Pulaski,Franklin,35,43,0,78
Lucy M Brenton,U.S. Senate,,L,Pulaski,Franklin,10,2,0,12
Write in,U.S. Senate,,,Pulaski,Franklin,0,0,0,0
Connie Lawson,Secretary of State,,R,Pulaski,Franklin,104,43,0,147
Jim Harper,Secretary of State,,D,Pulaski,Franklin,29,25,0,54
Mark W. Rutherford,Secretary of State,,L,Pulaski,Franklin,8,1,0,9
Write in,Secretary of State,,,Pulaski,Franklin,0,0,0,0
Tera Klutz,Auditor of State,,R,Pulaski,Franklin,101,40,0,141
Joselyn Whitticker,Auditor of State,,D,Pulaski,Franklin,37,26,0,63
John Schick,Auditor of State,,L,Pulaski,Franklin,4,2,0,6
Kelly Mitchell,Treasurer of State,,R,Pulaski,Franklin,110,41,0,151
John C. Aguilera,Treasurer of State,,D,Pulaski,Franklin,31,26,0,57
Jackie Walorski,U.S. House,2,R,Pulaski,Franklin,94,39,0,133
Mel Hall,U.S. House,2,D,Pulaski,Franklin,45,35,0,80
Write in,U.S. House,2,,Pulaski,Franklin,0,0,0,0
Douglas L Gutwein,State Representative,16,R,Pulaski,Franklin,106,44,0,150
Christina Zacny,State Representative,16,D,Pulaski,Franklin,34,27,0,61
,Registered Voters,,,Pulaski,Harrison,,,,453
,Ballots Cast,,,Pulaski,Harrison,,,,153
Mike Braun,U.S. Senate,,R,Pulaski,Harrison,101,51,0,152
Joe Donnelly,U.S. Senate,,D,Pulaski,Harrison,42,33,0,75
Lucy M Brenton,U.S. Senate,,L,Pulaski,Harrison,9,1,0,10
Write in,U.S. Senate,,,Pulaski,Harrison,0,0,0,0
Connie Lawson,Secretary of State,,R,Pulaski,Harrison,108,56,0,164
Jim Harper,Secretary of State,,D,Pulaski,Harrison,35,24,0,59
Mark W. Rutherford,Secretary of State,,L,Pulaski,Harrison,6,1,0,7
Write in,Secretary of State,,,Pulaski,Harrison,0,0,0,0
Tera Klutz,Auditor of State,,R,Pulaski,Harrison,102,55,0,157
Joselyn Whitticker,Auditor of State,,D,Pulaski,Harrison,37,23,0,60
John Schick,Auditor of State,,L,Pulaski,Harrison,7,4,0,11
Kelly Mitchell,Treasurer of State,,R,Pulaski,Harrison,111,58,0,169
John C. Aguilera,Treasurer of State,,D,Pulaski,Harrison,36,24,0,60
Jackie Walorski,U.S. House,2,R,Pulaski,Harrison,104,52,0,156
Mel Hall,U.S. House,2,D,Pulaski,Harrison,44,31,0,75
Write in,U.S. House,2,,Pulaski,Harrison,0,0,0,0
Douglas L Gutwein,State Representative,16,R,Pulaski,Harrison,115,61,0,176
Christina Zacny,State Representative,16,D,Pulaski,Harrison,36,21,0,57
,Registered Voters,,,Pulaski,Indian Creek,,,,442
,Ballots Cast,,,Pulaski,Indian Creek,,,,169
Mike Braun,U.S. Senate,,R,Pulaski,Indian Creek,84,29,0,113
Joe Donnelly,U.S. Senate,,D,Pulaski,Indian Creek,75,37,0,112
Lucy M Brenton,U.S. Senate,,L,Pulaski,Indian Creek,5,4,0,9
Write in,U.S. Senate,,,Pulaski,Indian Creek,0,0,0,0
Connie Lawson,Secretary of State,,R,Pulaski,Indian Creek,106,42,0,148
Jim Harper,Secretary of State,,D,Pulaski,Indian Creek,47,26,0,73
Mark W. Rutherford,Secretary of State,,L,Pulaski,Indian Creek,5,0,0,5
Write in,Secretary of State,,,Pulaski,Indian Creek,0,0,0,0
Tera Klutz,Auditor of State,,R,Pulaski,Indian Creek,95,39,0,134
Joselyn Whitticker,Auditor of State,,D,Pulaski,Indian Creek,53,28,0,81
John Schick,Auditor of State,,L,Pulaski,Indian Creek,7,1,0,8
Kelly Mitchell,Treasurer of State,,R,Pulaski,Indian Creek,111,41,0,152
John C. Aguilera,Treasurer of State,,D,Pulaski,Indian Creek,46,27,0,73
Jackie Walorski,U.S. House,2,R,Pulaski,Indian Creek,104,40,0,144
