county,precinct,office,district,candidate,party,Absentee,election_day,provisiona,votes
Lawrence,Shawswick 1A,Registered Voters,,,,,,,368
Lawrence,Shawswick 1B,Registered Voters,,,,,,,516
Lawrence,Shawswick 2,Registered Voters,,,,,,,573
Lawrence,Shawswick 3,Registered Voters,,,,,,,654
Lawrence,Shawswick 4,Registered Voters,,,,,,,643
Lawrence,Shawswick 5A,Registered Voters,,,,,,,588
Lawrence,Shawswick 5B,Registered Voters,,,,,,,572
Lawrence,Shawswick 6,Registered Voters,,,,,,,485
Lawrence,Shawswick 7A,Registered Voters,,,,,,,468
Lawrence,Shawswick 7B,Registered Voters,,,,,,,717
Lawrence,Shawswick 8,Registered Voters,,,,,,,645
Lawrence,Shawswick 9,Registered Voters,,,,,,,528
Lawrence,Shawswick 10,Registered Voters,,,,,,,653
Lawrence,Shawswick 11,Registered Voters,,,,,,,390
Lawrence,Shawswick 12,Registered Voters,,,,,,,880
Lawrence,Shawswick 13,Registered Voters,,,,,,,790
Lawrence,Shawswick 14A,Registered Voters,,,,,,,896
Lawrence,Shawswick 14B,Registered Voters,,,,,,,1022
Lawrence,Shawswick 15A,Registered Voters,,,,,,,404
Lawrence,Shawswick 15B,Registered Voters,,,,,,,916
Lawrence,Shawswick 16,Registered Voters,,,,,,,1036
Lawrence,Marion 1,Registered Voters,,,,,,,627
Lawrence,Marion 2,Registered Voters,,,,,,,750
Lawrence,Marion 3,Registered Voters,,,,,,,727
Lawrence,Marion 4,Registered Voters,,,,,,,580
Lawrence,Marion 5A,Registered Voters,,,,,,,890
Lawrence,Marion 5B,Registered Voters,,,,,,,1110
Lawrence,Marion 5C,Registered Voters,,,,,,,240
Lawrence,Marion 6,Registered Voters,,,,,,,1144
Lawrence,Bono,Registered Voters,,,,,,,522
Lawrence,Guthrie,Registered Voters,,,,,,,811
Lawrence,Indian Creek North,Registered Voters,,,,,,,1116
Lawrence,Indian Creek South,Registered Voters,,,,,,,751
Lawrence,Marshall 1,Registered Voters,,,,,,,1293
Lawrence,Marshall 2,Registered Voters,,,,,,,820
Lawrence,Marshall 3,Registered Voters,,,,,,,1122
Lawrence,Perry,Registered Voters,,,,,,,1472
Lawrence,Pleasant Run,Registered Voters,,,,,,,1209
Lawrence,Spice Valley North,Registered Voters,,,,,,,493
Lawrence,Spice Valley South,Registered Voters,,,,,,,1046
Lawrence,Total,Registered Voters,,,,,,,30467
Lawrence,Shawswick 1A,Ballots Cast,,,,11,54,0,65
Lawrence,Shawswick 1B,Ballots Cast,,,,35,75,0,110
Lawrence,Shawswick 2,Ballots Cast,,,,27,61,0,88
Lawrence,Shawswick 3,Ballots Cast,,,,29,83,0,112
Lawrence,Shawswick 4,Ballots Cast,,,,29,93,0,122
Lawrence,Shawswick 5A,Ballots Cast,,,,38,104,0,142
Lawrence,Shawswick 5B,Ballots Cast,,,,45,104,0,149
Lawrence,Shawswick 6,Ballots Cast,,,,12,86,0,98
Lawrence,Shawswick 7A,Ballots Cast,,,,26,49,0,75
Lawrence,Shawswick 7B,Ballots Cast,,,,47,103,0,150
Lawrence,Shawswick 8,Ballots Cast,,,,41,116,0,157
Lawrence,Shawswick 9,Ballots Cast,,,,10,58,0,68
Lawrence,Shawswick 10,Ballots Cast,,,,20,98,0,118
Lawrence,Shawswick 11,Ballots Cast,,,,25,53,0,78
Lawrence,Shawswick 12,Ballots Cast,,,,36,154,0,190
Lawrence,Shawswick 13,Ballots Cast,,,,49,118,0,167
Lawrence,Shawswick 14A,Ballots Cast,,,,66,152,0,218
Lawrence,Shawswick 14B,Ballots Cast,,,,72,137,0,209
Lawrence,Shawswick 15A,Ballots Cast,,,,19,58,0,77
Lawrence,Shawswick 15B,Ballots Cast,,,,47,95,0,142
