county,precinct,office,district,candidate,party,election_day,absentee,provisional,votes
Adams,Berne A,Ballots Cast,,,,231,46,0,277
Adams,Berne A,Registered Voters,,,,,,,1006
Adams,Berne A,U.S. Senate,,Mike Braun,REP,73,20,0,93
Adams,Berne A,U.S. Senate,,Luke Messer,REP,44,7,0,51
Adams,Berne A,U.S. Senate,,Todd Rokita,REP,63,10,0,73
Adams,Berne A,U.S. Senate,,Joe Donnelly,DEM,31,7,0,38
Adams,Berne A,U.S. House,3,Jim Banks,REP,164,36,0,200
Adams,Berne A,U.S. House,3,John F. Roberson,DEM,6,2,0,8
Adams,Berne A,U.S. House,3,Tommy A. Schrader,DEM,5,2,0,7
Adams,Berne A,U.S. House,3,Courtney Tritch,DEM,18,2,0,20
Adams,Berne A,State Senate,19,Travis Holdman,REP,125,21,0,146
Adams,Berne A,State Senate,19,Eric Orr,REP,67,18,0,85
Adams,Berne A,State Senate,19,No Candiate Filed,DEM,0,0,0,0
Adams,Berne A,State House,79,Matthew S. Lehman,REP,181,34,0,215
Adams,Berne A,State House,79,No Candiate Filed,DEM,0,0,0,0
Adams,Berne B,Ballots Cast,,,,248,48,0,296
Adams,Berne B,Registered Voters,,,,,,,967
Adams,Berne B,U.S. Senate,,Mike Braun,REP,101,18,0,119
Adams,Berne B,U.S. Senate,,Luke Messer,REP,56,7,0,63
Adams,Berne B,U.S. Senate,,Todd Rokita,REP,60,12,0,72
Adams,Berne B,U.S. Senate,,Joe Donnelly,DEM,15,5,0,20
Adams,Berne B,U.S. House,3,Jim Banks,REP,203,32,0,235
Adams,Berne B,U.S. House,3,John F. Roberson,DEM,0,1,0,1
Adams,Berne B,U.S. House,3,Tommy A. Schrader,DEM,2,1,0,3
Adams,Berne B,U.S. House,3,Courtney Tritch,DEM,14,5,0,19
Adams,Berne B,State Senate,19,Travis Holdman,REP,147,22,0,169
Adams,Berne B,State Senate,19,Eric Orr,REP,80,18,0,98
Adams,Berne B,State Senate,19,No Candiate Filed,DEM,0,0,0,0
Adams,Berne B,State House,79,Matthew S. Lehman,REP,215,33,0,248
Adams,Berne B,State House,79,No Candiate Filed,DEM,0,0,0,0
Adams,Berne C,Ballots Cast,,,,279,95,0,374
Adams,Berne C,Registered Voters,,,,,,,797
Adams,Berne C,U.S. Senate,,Mike Braun,REP,117,25,0,142
Adams,Berne C,U.S. Senate,,Luke Messer,REP,51,15,0,66
Adams,Berne C,U.S. Senate,,Todd Rokita,REP,60,33,0,93
Adams,Berne C,U.S. Senate,,Joe Donnelly,DEM,23,9,0,32
Adams,Berne C,U.S. House,3,Jim Banks,REP,200,70,0,270
Adams,Berne C,U.S. House,3,John F. Roberson,DEM,2,2,0,4
Adams,Berne C,U.S. House,3,Tommy A. Schrader,DEM,3,5,0,8
Adams,Berne C,U.S. House,3,Courtney Tritch,DEM,19,4,0,23
Adams,Berne C,State Senate,19,Travis Holdman,REP,157,55,0,212
Adams,Berne C,State Senate,19,Eric Orr,REP,90,21,0,111
Adams,Berne C,State Senate,19,No Candiate Filed,DEM,0,0,0,0
Adams,Berne C,State House,79,Matthew S. Lehman,REP,234,74,0,308
Adams,Berne C,State House,79,No Candiate Filed,DEM,0,0,0,0
Adams,Blue Creek,Ballots Cast,,,,70,22,0,92
Adams,Blue Creek,Registered Voters,,,,,,,291
Adams,Blue Creek,U.S. Senate,,Mike Braun,REP,24,6,0,30
Adams,Blue Creek,U.S. Senate,,Luke Messer,REP,19,6,0,25
Adams,Blue Creek,U.S. Senate,,Todd Rokita,REP,18,7,0,25
Adams,Blue Creek,U.S. Senate,,Joe Donnelly,DEM,7,1,0,8
Adams,Blue Creek,U.S. House,3,Jim Banks,REP,52,17,0,69
Adams,Blue Creek,U.S. House,3,John F. Roberson,DEM,1,0,0,1
Adams,Blue Creek,U.S. House,3,Tommy A. Schrader,DEM,3,0,0,3
Adams,Blue Creek,U.S. House,3,Courtney Tritch,DEM,3,3,0,6
Adams,Blue Creek,State Senate,19,Travis Holdman,REP,47,13,0,60
Adams,Blue Creek,State Senate,19,Eric Orr,REP,14,6,0,20
Adams,Blue Creek,State Senate,19,No Candiate Filed,DEM,0,0,0,0
Adams,Blue Creek,State House,79,Matthew S. Lehman,REP,57,15,0,72
Adams,Blue Creek,State House,79,No Candiate Filed,DEM,0,0,0,0
Adams,Decatur 1,Ballots Cast,,,,212,116,0,328
Adams,Decatur 1,Registered Voters,,,,,,,1529
Adams,Decatur 1,U.S. Senate,,Mike Braun,REP,66,33,0,99
Adams,Decatur 1,U.S. Senate,,Luke Messer,REP,36,15,0,51
Adams,Decatur 1,U.S. Senate,,Todd Rokita,REP,54,23,0,77
Adams,Decatur 1,U.S. Senate,,Joe Donnelly,DEM,39,33,0,72
Adams,Decatur 1,U.S. House,3,Jim Banks,REP,133,62,0,195
Adams,Decatur 1,U.S. House,3,John F. Roberson,DEM,5,5,0,10
Adams,Decatur 1,U.S. House,3,Tommy A. Schrader,DEM,4,13,0,17
Adams,Decatur 1,U.S. House,3,Courtney Tritch,DEM,35,17,0,52
Adams,Decatur 1,State Senate,19,Travis Holdman,REP,131,42,0,173
Adams,Decatur 1,State Senate,19,Eric Orr,REP,27,24,0,51
