candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Perry,Cannelton 1,,,,205
,Ballots Cast,,,Perry,Cannelton 1,,,,75
Joe Donnelly,U.S. Senate,,D,Perry,Cannelton 1,29,37,0,66
Mike Braun,U.S. Senate,,R,Perry,Cannelton 1,37,20,0,57
Lucy M Brenton,U.S. Senate,,L,Perry,Cannelton 1,3,3,0,6
Write in,U.S. Senate,,,Perry,Cannelton 1,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Cannelton 1,26,35,0,61
Connie Lawson,Secretary of State,,R,Perry,Cannelton 1,41,20,0,61
Mark W. Rutherford,Secretary of State,,L,Perry,Cannelton 1,2,2,0,4
Write in,Secretary of State,,,Perry,Cannelton 1,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Cannelton 1,28,35,0,63
Tera Klutz,Auditor of State,,R,Perry,Cannelton 1,39,20,0,59
John Schick,Auditor of State,,L,Perry,Cannelton 1,1,1,0,2
John C. Aguilera,Treasurer of State,,D,Perry,Cannelton 1,30,34,0,64
Kelly Mitchell,Treasurer of State,,R,Perry,Cannelton 1,39,23,0,62
William Tanoos,U.S. House,8,D,Perry,Cannelton 1,28,37,0,65
Larry D Bucshon,U.S. House,8,R,Perry,Cannelton 1,42,21,0,63
Write in,U.S. House,8,,Perry,Cannelton 1,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Cannelton 1,34,37,0,71
Erin Houchin,State Senate,47,R,Perry,Cannelton 1,36,22,0,58
Larry K Kleeman,State Representative,74,D,Perry,Cannelton 1,36,34,0,70
Stephen R. Bartels,State Representative,74,R,Perry,Cannelton 1,34,25,0,59
,Registered Voters,,,Perry,Cannelton 2,,,,615
,Ballots Cast,,,Perry,Cannelton 2,,,,204
Joe Donnelly,U.S. Senate,,D,Perry,Cannelton 2,87,66,0,153
Mike Braun,U.S. Senate,,R,Perry,Cannelton 2,96,68,0,164
Lucy M Brenton,U.S. Senate,,L,Perry,Cannelton 2,14,13,0,27
Write in,U.S. Senate,,,Perry,Cannelton 2,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Cannelton 2,88,73,0,161
Connie Lawson,Secretary of State,,R,Perry,Cannelton 2,93,68,0,161
Mark W. Rutherford,Secretary of State,,L,Perry,Cannelton 2,11,6,0,17
Write in,Secretary of State,,,Perry,Cannelton 2,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Cannelton 2,92,75,0,167
Tera Klutz,Auditor of State,,R,Perry,Cannelton 2,92,63,0,155
John Schick,Auditor of State,,L,Perry,Cannelton 2,8,6,0,14
John C. Aguilera,Treasurer of State,,D,Perry,Cannelton 2,88,69,0,157
Kelly Mitchell,Treasurer of State,,R,Perry,Cannelton 2,103,73,0,176
William Tanoos,U.S. House,8,D,Perry,Cannelton 2,90,69,0,159
Larry D Bucshon,U.S. House,8,R,Perry,Cannelton 2,103,74,0,177
Write in,U.S. House,8,,Perry,Cannelton 2,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Cannelton 2,98,69,0,167
Erin Houchin,State Senate,47,R,Perry,Cannelton 2,98,72,0,170
Larry K Kleeman,State Representative,74,D,Perry,Cannelton 2,103,75,0,178
Stephen R. Bartels,State Representative,74,R,Perry,Cannelton 2,94,73,0,167
,Registered Voters,,,Perry,Tell City 1,,,,664
,Ballots Cast,,,Perry,Tell City 1,,,,217
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 1,98,102,0,200
Mike Braun,U.S. Senate,,R,Perry,Tell City 1,106,95,0,201
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 1,10,4,0,14
Write in,U.S. Senate,,,Perry,Tell City 1,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 1,92,93,0,185
Connie Lawson,Secretary of State,,R,Perry,Tell City 1,108,102,0,210
Mark W. Rutherford,Secretary of State,,L,Perry,Tell City 1,10,4,0,14
Write in,Secretary of State,,,Perry,Tell City 1,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Tell City 1,96,96,0,192
Tera Klutz,Auditor of State,,R,Perry,Tell City 1,103,99,0,202
John Schick,Auditor of State,,L,Perry,Tell City 1,9,2,0,11
John C. Aguilera,Treasurer of State,,D,Perry,Tell City 1,98,90,0,188
Kelly Mitchell,Treasurer of State,,R,Perry,Tell City 1,107,106,0,213
William Tanoos,U.S. House,8,D,Perry,Tell City 1,100,94,0,194
Larry D Bucshon,U.S. House,8,R,Perry,Tell City 1,109,104,0,213
Write in,U.S. House,8,,Perry,Tell City 1,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Tell City 1,100,93,0,193
Erin Houchin,State Senate,47,R,Perry,Tell City 1,110,110,0,220
Larry K Kleeman,State Representative,74,D,Perry,Tell City 1,123,117,0,240
Stephen R. Bartels,State Representative,74,R,Perry,Tell City 1,89,90,0,179
,Registered Voters,,,Perry,Tell City 2,,,,569
,Ballots Cast,,,Perry,Tell City 2,,,,149
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 2,73,87,0,160
Mike Braun,U.S. Senate,,R,Perry,Tell City 2,65,74,0,139
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 2,8,7,0,15
Write in,U.S. Senate,,,Perry,Tell City 2,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 2,76,85,0,161
Connie Lawson,Secretary of State,,R,Perry,Tell City 2,62,79,0,141
Mark W. Rutherford,Secretary of State,,L,Perry,Tell City 2,4,1,0,5
Write in,Secretary of State,,,Perry,Tell City 2,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Tell City 2,77,90,0,167
Tera Klutz,Auditor of State,,R,Perry,Tell City 2,60,74,0,134
John Schick,Auditor of State,,L,Perry,Tell City 2,6,2,0,8
John C. Aguilera,Treasurer of State,,D,Perry,Tell City 2,77,85,0,162
Kelly Mitchell,Treasurer of State,,R,Perry,Tell City 2,66,81,0,147
William Tanoos,U.S. House,8,D,Perry,Tell City 2,72,83,0,155
Larry D Bucshon,U.S. House,8,R,Perry,Tell City 2,72,84,0,156
Write in,U.S. House,8,,Perry,Tell City 2,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Tell City 2,69,81,0,150
Erin Houchin,State Senate,47,R,Perry,Tell City 2,77,86,0,163
Larry K Kleeman,State Representative,74,D,Perry,Tell City 2,90,100,0,190
Stephen R. Bartels,State Representative,74,R,Perry,Tell City 2,55,67,0,122
,Registered Voters,,,Perry,Tell City 3,,,,518
,Ballots Cast,,,Perry,Tell City 3,,,,190
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 3,72,58,0,130
Mike Braun,U.S. Senate,,R,Perry,Tell City 3,103,47,0,150
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 3,11,9,0,20
Write in,U.S. Senate,,,Perry,Tell City 3,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 3,69,59,0,128
Connie Lawson,Secretary of State,,R,Perry,Tell City 3,104,47,0,151
Mark W. Rutherford,Secretary of State,,L,Perry,Tell City 3,9,6,0,15
Write in,Secretary of State,,,Perry,Tell City 3,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Tell City 3,71,62,0,133
Tera Klutz,Auditor of State,,R,Perry,Tell City 3,102,46,0,148
John Schick,Auditor of State,,L,Perry,Tell City 3,10,4,0,14
John C. Aguilera,Treasurer of State,,D,Perry,Tell City 3,71,56,0,127
Kelly Mitchell,Treasurer of State,,R,Perry,Tell City 3,111,55,0,166
William Tanoos,U.S. House,8,D,Perry,Tell City 3,68,57,0,125
Larry D Bucshon,U.S. House,8,R,Perry,Tell City 3,119,52,0,171
Write in,U.S. House,8,,Perry,Tell City 3,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Tell City 3,65,54,0,119
Erin Houchin,State Senate,47,R,Perry,Tell City 3,122,58,0,180
Larry K Kleeman,State Representative,74,D,Perry,Tell City 3,97,66,0,163
Stephen R. Bartels,State Representative,74,R,Perry,Tell City 3,91,49,0,140
,Registered Voters,,,Perry,Tell City 4,,,,660
,Ballots Cast,,,Perry,Tell City 4,,,,257
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 4,113,114,0,227
Mike Braun,U.S. Senate,,R,Perry,Tell City 4,121,91,0,212
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 4,18,9,0,27
Write in,U.S. Senate,,,Perry,Tell City 4,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 4,101,104,0,205
Connie Lawson,Secretary of State,,R,Perry,Tell City 4,131,102,0,233
Mark W. Rutherford,Secretary of State,,L,Perry,Tell City 4,9,3,0,12
Write in,Secretary of State,,,Perry,Tell City 4,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Tell City 4,101,111,0,212
Tera Klutz,Auditor of State,,R,Perry,Tell City 4,125,92,0,217
John Schick,Auditor of State,,L,Perry,Tell City 4,13,5,0,18
John C. Aguilera,Treasurer of State,,D,Perry,Tell City 4,105,109,0,214
Kelly Mitchell,Treasurer of State,,R,Perry,Tell City 4,133,97,0,230
William Tanoos,U.S. House,8,D,Perry,Tell City 4,96,96,0,192
Larry D Bucshon,U.S. House,8,R,Perry,Tell City 4,149,114,0,263
Write in,U.S. House,8,,Perry,Tell City 4,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Tell City 4,101,103,0,204
Erin Houchin,State Senate,47,R,Perry,Tell City 4,148,110,0,258
Larry K Kleeman,State Representative,74,D,Perry,Tell City 4,151,131,0,282
Stephen R. Bartels,State Representative,74,R,Perry,Tell City 4,99,83,0,182
,Registered Voters,,,Perry,Tell City 5,,,,705
,Ballots Cast,,,Perry,Tell City 5,,,,196
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 5,98,108,0,206
Mike Braun,U.S. Senate,,R,Perry,Tell City 5,87,79,0,166
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 5,7,9,0,16
Write in,U.S. Senate,,,Perry,Tell City 5,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 5,90,103,0,193
Connie Lawson,Secretary of State,,R,Perry,Tell City 5,90,86,0,176
Mark W. Rutherford,Secretary of State,,L,Perry,Tell City 5,9,6,0,15
Write in,Secretary of State,,,Perry,Tell City 5,0,0,0,0
Joselyn Whitticker,Auditor of State,,D,Perry,Tell City 5,93,104,0,197
Tera Klutz,Auditor of State,,R,Perry,Tell City 5,86,84,0,170
John Schick,Auditor of State,,L,Perry,Tell City 5,9,6,0,15
John C. Aguilera,Treasurer of State,,D,Perry,Tell City 5,97,109,0,206
Kelly Mitchell,Treasurer of State,,R,Perry,Tell City 5,91,88,0,179
William Tanoos,U.S. House,8,D,Perry,Tell City 5,91,103,0,194
Larry D Bucshon,U.S. House,8,R,Perry,Tell City 5,97,94,0,191
Write in,U.S. House,8,,Perry,Tell City 5,0,0,0,0
Nicholas A (Nick) Siler,State Senate,47,D,Perry,Tell City 5,99,98,0,197
Erin Houchin,State Senate,47,R,Perry,Tell City 5,90,97,0,187
Larry K Kleeman,State Representative,74,D,Perry,Tell City 5,112,116,0,228
Stephen R. Bartels,State Representative,74,R,Perry,Tell City 5,80,82,0,162
,Registered Voters,,,Perry,Tell City 6,,,,535
,Ballots Cast,,,Perry,Tell City 6,,,,181
Joe Donnelly,U.S. Senate,,D,Perry,Tell City 6,83,86,0,169
Mike Braun,U.S. Senate,,R,Perry,Tell City 6,82,44,0,126
Lucy M Brenton,U.S. Senate,,L,Perry,Tell City 6,15,3,0,18
Write in,U.S. Senate,,,Perry,Tell City 6,0,0,0,0
Jim Harper,Secretary of State,,D,Perry,Tell City 6,86,77,0,163
